Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,acute/chronic,housing,region,sex,source_name
SRR11246654,RNA-Seq,100,2671021400,PRJNA610626,SAMN14307485,1197393511,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857573,GSM4386439,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386439,SRP251749,CHR,G,AMY,female,Brain
SRR11246655,RNA-Seq,100,548014100,PRJNA610626,SAMN14307485,242503022,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857573,GSM4386439,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386439,SRP251749,CHR,G,AMY,female,Brain
SRR11246656,RNA-Seq,100,553081100,PRJNA610626,SAMN14307485,254830883,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857573,GSM4386439,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386439,SRP251749,CHR,G,AMY,female,Brain
SRR11246657,RNA-Seq,100,1008001000,PRJNA610626,SAMN14307484,435613374,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857574,GSM4386440,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386440,SRP251749,CHR,G,AMY,female,Brain
SRR11246658,RNA-Seq,100,1014073400,PRJNA610626,SAMN14307484,440683565,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857574,GSM4386440,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386440,SRP251749,CHR,G,AMY,female,Brain
SRR11246659,RNA-Seq,100,1009793400,PRJNA610626,SAMN14307484,439609677,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857574,GSM4386440,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386440,SRP251749,CHR,G,AMY,female,Brain
SRR11246660,RNA-Seq,100,1073893700,PRJNA610626,SAMN14307398,475507132,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857129,GSM4386441,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386441,SRP251749,CHR,G,AMY,female,Brain
SRR11246661,RNA-Seq,100,1086704100,PRJNA610626,SAMN14307398,488957575,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857129,GSM4386441,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386441,SRP251749,CHR,G,AMY,female,Brain
SRR11246662,RNA-Seq,100,1077475800,PRJNA610626,SAMN14307398,482378177,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857129,GSM4386441,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386441,SRP251749,CHR,G,AMY,female,Brain
SRR11246663,RNA-Seq,100,933365300,PRJNA610626,SAMN14307444,396386628,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7857130,GSM4386442,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-12-01T00:00:00Z,GSM4386442,SRP251749,CHR,G,AMY,female,Brain
