Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	2692	2692
OG0000001	1294	1294
OG0000002	919	919
OG0000003	785	785
OG0000004	678	678
OG0000005	623	623
OG0000006	596	596
OG0000007	548	548
OG0000008	498	498
OG0000009	468	468
OG0000010	465	465
OG0000011	451	451
OG0000012	443	443
OG0000013	435	435
OG0000014	425	425
OG0000015	407	407
OG0000016	404	404
OG0000017	386	386
OG0000018	384	384
OG0000019	382	382
OG0000020	375	375
OG0000021	374	374
OG0000022	370	370
OG0000023	368	368
OG0000024	358	358
OG0000025	345	345
OG0000026	345	345
OG0000027	302	302
OG0000028	288	288
OG0000029	288	288
OG0000030	284	284
OG0000031	273	273
OG0000032	280	280
OG0000033	266	266
OG0000034	269	269
OG0000035	267	267
OG0000036	264	264
OG0000037	264	264
OG0000038	263	263
OG0000039	262	262
OG0000040	260	260
OG0000041	257	257
OG0000042	254	254
OG0000043	252	252
OG0000044	250	250
OG0000045	245	245
OG0000046	242	242
OG0000047	233	233
OG0000048	232	232
OG0000049	232	232
OG0000050	227	227
OG0000051	221	221
OG0000052	221	221
OG0000053	220	220
OG0000054	218	218
OG0000055	215	215
OG0000056	212	212
OG0000057	212	212
OG0000058	206	206
OG0000059	202	202
OG0000060	202	202
OG0000061	200	200
OG0000062	200	200
OG0000063	197	197
OG0000064	196	196
OG0000065	196	196
OG0000066	195	195
OG0000067	183	183
OG0000068	194	194
OG0000069	193	193
OG0000070	189	189
OG0000071	188	188
OG0000072	188	188
OG0000073	187	187
OG0000074	185	185
OG0000075	183	183
OG0000076	179	179
OG0000077	173	173
OG0000078	177	177
OG0000079	174	174
OG0000080	176	176
OG0000081	176	176
OG0000082	174	174
OG0000083	172	172
OG0000084	171	171
OG0000085	170	170
OG0000086	170	170
OG0000087	169	169
OG0000088	169	169
OG0000089	168	168
OG0000090	168	168
OG0000091	168	168
OG0000092	168	168
OG0000093	167	167
OG0000094	167	167
OG0000095	167	167
OG0000096	166	166
OG0000097	166	166
OG0000098	164	164
OG0000099	164	164
OG0000100	164	164
OG0000101	163	163
OG0000102	163	163
OG0000103	161	161
OG0000104	161	161
OG0000105	161	161
OG0000106	160	160
OG0000107	160	160
OG0000108	159	159
OG0000109	157	157
OG0000110	157	157
OG0000111	156	156
OG0000112	153	153
OG0000113	152	152
OG0000114	151	151
OG0000115	147	147
OG0000116	148	148
OG0000117	148	148
OG0000118	148	148
OG0000119	135	135
OG0000120	147	147
OG0000121	147	147
OG0000122	147	147
OG0000123	139	139
OG0000124	145	145
OG0000125	144	144
OG0000126	144	144
OG0000127	143	143
OG0000128	141	141
OG0000129	141	141
OG0000130	141	141
OG0000131	140	140
OG0000132	139	139
OG0000133	138	138
OG0000134	138	138
OG0000135	138	138
OG0000136	137	137
OG0000137	137	137
OG0000138	137	137
OG0000139	136	136
OG0000140	135	135
OG0000141	134	134
OG0000142	134	134
OG0000143	134	134
OG0000144	134	134
OG0000145	133	133
OG0000146	133	133
OG0000147	132	132
OG0000148	131	131
OG0000149	131	131
OG0000150	131	131
OG0000151	131	131
OG0000152	130	130
OG0000153	130	130
OG0000154	130	130
OG0000155	130	130
OG0000156	129	129
OG0000157	129	129
OG0000158	128	128
OG0000159	128	128
OG0000160	128	128
OG0000161	127	127
OG0000162	127	127
OG0000163	126	126
OG0000164	125	125
OG0000165	125	125
OG0000166	125	125
OG0000167	124	124
OG0000168	124	124
OG0000169	124	124
OG0000170	119	119
OG0000171	122	122
OG0000172	122	122
OG0000173	116	116
OG0000174	121	121
OG0000175	121	121
OG0000176	118	118
OG0000177	103	103
OG0000178	118	118
OG0000179	118	118
OG0000180	118	118
OG0000181	117	117
OG0000182	117	117
OG0000183	116	116
OG0000184	116	116
OG0000185	115	115
OG0000186	114	114
OG0000187	114	114
OG0000188	114	114
OG0000189	99	90
OG0000190	113	113
OG0000191	113	113
OG0000192	113	113
OG0000193	112	112
OG0000194	112	112
OG0000195	112	112
OG0000196	110	110
OG0000197	108	108
OG0000198	109	109
OG0000199	109	109
OG0000200	109	109
OG0000201	108	108
OG0000202	108	108
OG0000203	105	105
OG0000204	106	106
OG0000205	106	106
OG0000206	106	106
OG0000207	106	106
OG0000208	105	105
OG0000209	97	97
OG0000210	103	103
OG0000211	104	104
OG0000212	104	104
OG0000213	89	87
OG0000214	103	103
OG0000215	96	96
OG0000216	96	96
OG0000217	102	102
OG0000218	102	102
OG0000219	100	100
OG0000220	100	100
OG0000221	99	99
OG0000222	99	99
OG0000223	99	99
OG0000224	98	98
OG0000225	98	98
OG0000226	98	98
OG0000227	96	96
OG0000228	97	97
OG0000229	96	96
OG0000230	96	96
OG0000231	96	96
OG0000232	88	88
OG0000233	95	95
OG0000234	95	95
OG0000235	95	95
OG0000236	94	94
OG0000237	94	94
OG0000238	94	94
OG0000239	94	94
OG0000240	94	94
OG0000241	88	88
OG0000242	78	76
OG0000243	93	93
OG0000244	93	93
OG0000245	92	92
OG0000246	92	92
OG0000247	88	88
OG0000248	91	91
OG0000249	90	90
OG0000250	90	90
OG0000251	90	90
OG0000252	90	90
OG0000253	90	90
OG0000254	90	90
OG0000255	90	90
OG0000256	89	89
OG0000257	89	89
OG0000258	89	89
OG0000259	89	89
OG0000260	89	89
OG0000261	89	89
OG0000262	89	89
OG0000263	81	81
OG0000264	85	85
OG0000265	88	88
OG0000266	88	88
OG0000267	88	88
OG0000268	88	88
OG0000269	88	88
OG0000270	88	88
OG0000271	88	88
OG0000272	82	82
OG0000273	77	77
OG0000274	82	82
OG0000275	78	78
OG0000276	87	87
OG0000277	87	87
OG0000278	78	78
OG0000279	86	86
OG0000280	86	86
OG0000281	86	86
OG0000282	86	86
OG0000283	86	86
OG0000284	86	86
OG0000285	86	86
OG0000286	85	85
OG0000287	85	85
OG0000288	85	85
OG0000289	85	85
OG0000290	85	85
OG0000291	79	79
OG0000292	72	57
OG0000293	83	83
OG0000294	84	84
OG0000295	84	84
OG0000296	84	84
OG0000297	84	84
OG0000298	84	84
OG0000299	84	84
OG0000300	84	84
OG0000301	77	77
OG0000302	75	75
OG0000303	77	77
OG0000304	83	83
OG0000305	77	77
OG0000306	73	73
OG0000307	77	77
OG0000308	82	82
OG0000309	82	82
OG0000310	82	82
OG0000311	82	82
OG0000312	82	82
OG0000313	73	73
OG0000314	73	73
OG0000315	71	71
OG0000316	81	81
OG0000317	81	81
OG0000318	81	81
OG0000319	81	81
OG0000320	73	73
OG0000321	80	80
OG0000322	80	80
OG0000323	80	80
OG0000324	80	80
OG0000325	80	80
OG0000326	69	68
OG0000327	79	79
OG0000328	79	79
OG0000329	70	70
OG0000330	71	71
OG0000331	70	70
OG0000332	78	78
OG0000333	78	78
OG0000334	78	78
OG0000335	70	70
OG0000336	69	69
OG0000337	77	77
OG0000338	77	77
OG0000339	77	77
OG0000340	77	77
OG0000341	77	77
OG0000342	77	77
OG0000343	77	77
OG0000344	77	77
OG0000345	77	77
OG0000346	77	77
OG0000347	77	77
OG0000348	71	71
OG0000349	67	67
OG0000350	68	68
OG0000351	76	76
OG0000352	76	76
OG0000353	76	76
OG0000354	60	60
OG0000355	71	71
OG0000356	75	75
OG0000357	75	75
OG0000358	75	75
OG0000359	75	75
OG0000360	75	75
OG0000361	70	70
OG0000362	65	64
OG0000363	74	74
OG0000364	74	74
OG0000365	74	74
OG0000366	74	74
OG0000367	74	74
OG0000368	74	74
OG0000369	74	74
OG0000370	74	74
OG0000371	74	74
OG0000372	74	74
OG0000373	74	74
OG0000374	74	74
OG0000375	65	65
OG0000376	73	73
OG0000377	73	73
OG0000378	73	73
OG0000379	73	73
OG0000380	73	73
OG0000381	73	73
OG0000382	73	73
OG0000383	73	73
OG0000384	72	72
OG0000385	72	72
OG0000386	72	72
OG0000387	72	72
OG0000388	72	72
OG0000389	67	67
OG0000390	61	61
OG0000391	65	65
OG0000392	70	70
OG0000393	68	68
OG0000394	71	71
OG0000395	71	71
OG0000396	71	71
OG0000397	71	71
OG0000398	71	71
OG0000399	71	71
OG0000400	71	71
OG0000401	71	71
OG0000402	65	65
OG0000403	65	65
OG0000404	66	66
OG0000405	70	70
OG0000406	70	70
OG0000407	70	70
OG0000408	70	70
OG0000409	70	70
OG0000410	60	60
OG0000411	61	61
OG0000412	65	65
OG0000413	69	69
OG0000414	69	69
OG0000415	69	69
OG0000416	69	69
OG0000417	69	69
OG0000418	61	61
OG0000419	63	63
OG0000420	67	67
OG0000421	66	66
OG0000422	68	68
OG0000423	68	68
OG0000424	68	68
OG0000425	68	68
OG0000426	68	68
OG0000427	68	68
OG0000428	68	68
OG0000429	68	68
OG0000430	61	61
OG0000431	62	62
OG0000432	58	57
OG0000433	62	62
OG0000434	66	66
OG0000435	66	66
OG0000436	67	67
OG0000437	67	67
OG0000438	67	67
OG0000439	67	67
OG0000440	67	67
OG0000441	67	67
OG0000442	67	67
OG0000443	67	67
OG0000444	67	67
OG0000445	67	67
OG0000446	67	67
OG0000447	60	60
OG0000448	57	55
OG0000449	64	64
OG0000450	65	65
OG0000451	65	65
OG0000452	66	66
OG0000453	66	66
OG0000454	66	66
OG0000455	66	66
OG0000456	66	66
OG0000457	66	66
OG0000458	66	66
OG0000459	66	66
OG0000460	60	60
OG0000461	61	61
OG0000462	60	60
OG0000463	59	57
OG0000464	63	63
OG0000465	65	65
OG0000466	65	65
OG0000467	65	65
OG0000468	65	65
OG0000469	65	65
OG0000470	65	65
OG0000471	59	59
OG0000472	52	51
OG0000473	60	60
OG0000474	61	61
OG0000475	60	60
OG0000476	60	60
OG0000477	61	61
OG0000478	57	57
OG0000479	64	64
OG0000480	64	64
OG0000481	64	64
OG0000482	64	64
OG0000483	64	64
OG0000484	64	64
OG0000485	64	64
OG0000486	64	64
OG0000487	64	64
OG0000488	58	58
OG0000489	56	56
OG0000490	60	60
OG0000491	57	56
OG0000492	57	57
OG0000493	54	54
OG0000494	56	55
OG0000495	58	58
OG0000496	59	59
OG0000497	61	61
OG0000498	63	63
OG0000499	63	63
OG0000500	63	63
OG0000501	63	63
OG0000502	63	63
OG0000503	63	63
OG0000504	56	56
OG0000505	57	57
OG0000506	57	57
OG0000507	58	58
OG0000508	54	54
OG0000509	58	58
OG0000510	59	59
OG0000511	62	62
OG0000512	62	62
OG0000513	62	62
OG0000514	62	62
OG0000515	62	62
OG0000516	62	62
OG0000517	57	57
OG0000518	57	57
OG0000519	57	57
OG0000520	58	58
OG0000521	57	57
OG0000522	57	57
OG0000523	60	60
OG0000524	61	61
OG0000525	61	61
OG0000526	61	61
OG0000527	61	61
OG0000528	61	61
OG0000529	61	61
OG0000530	61	61
OG0000531	61	61
OG0000532	61	61
OG0000533	61	61
OG0000534	61	61
OG0000535	52	52
OG0000536	56	56
OG0000537	52	52
OG0000538	59	59
OG0000539	59	59
OG0000540	58	58
OG0000541	60	60
OG0000542	60	60
OG0000543	60	60
OG0000544	60	60
OG0000545	60	60
OG0000546	60	60
OG0000547	60	60
OG0000548	60	60
OG0000549	60	60
OG0000550	60	60
OG0000551	52	52
OG0000552	53	53
OG0000553	56	56
OG0000554	55	55
OG0000555	52	51
OG0000556	53	53
OG0000557	58	58
OG0000558	58	58
OG0000559	56	56
OG0000560	58	58
OG0000561	59	59
OG0000562	59	59
OG0000563	59	59
OG0000564	59	59
OG0000565	59	59
OG0000566	53	53
OG0000567	53	53
OG0000568	55	55
OG0000569	53	53
OG0000570	51	48
OG0000571	57	57
OG0000572	54	54
OG0000573	56	56
OG0000574	57	57
OG0000575	58	58
OG0000576	58	58
OG0000577	58	58
OG0000578	58	58
OG0000579	58	58
OG0000580	58	58
OG0000581	58	58
OG0000582	58	58
OG0000583	58	58
OG0000584	58	58
OG0000585	58	58
OG0000586	58	58
OG0000587	52	52
OG0000588	53	53
OG0000589	50	50
OG0000590	53	53
OG0000591	55	55
OG0000592	56	56
OG0000593	57	57
OG0000594	57	57
OG0000595	57	57
OG0000596	57	57
OG0000597	57	57
OG0000598	57	57
OG0000599	57	57
OG0000600	57	57
OG0000601	57	57
OG0000602	57	57
OG0000603	57	57
OG0000604	57	57
OG0000605	57	57
OG0000606	48	48
OG0000607	50	50
OG0000608	48	48
OG0000609	52	52
OG0000610	48	48
OG0000611	51	51
OG0000612	53	53
OG0000613	55	55
OG0000614	54	54
OG0000615	55	55
OG0000616	56	56
OG0000617	56	56
OG0000618	56	56
OG0000619	56	56
OG0000620	56	56
OG0000621	56	56
OG0000622	56	56
OG0000623	56	56
OG0000624	56	56
OG0000625	56	56
OG0000626	56	56
OG0000627	56	56
OG0000628	56	56
OG0000629	56	56
OG0000630	48	48
OG0000631	49	49
OG0000632	51	51
OG0000633	51	51
OG0000634	46	46
OG0000635	51	51
OG0000636	50	50
OG0000637	51	51
OG0000638	51	51
OG0000639	54	54
OG0000640	53	53
OG0000641	54	54
OG0000642	52	52
OG0000643	54	54
OG0000644	53	53
OG0000645	55	55
OG0000646	55	55
OG0000647	55	55
OG0000648	55	55
OG0000649	55	55
OG0000650	55	55
OG0000651	55	55
OG0000652	55	55
OG0000653	55	55
OG0000654	55	55
OG0000655	55	55
OG0000656	55	55
OG0000657	55	55
OG0000658	48	48
OG0000659	49	49
OG0000660	53	53
OG0000661	49	49
OG0000662	51	51
OG0000663	50	50
OG0000664	50	50
OG0000665	46	46
OG0000666	51	51
OG0000667	49	49
OG0000668	47	47
OG0000669	50	49
OG0000670	47	47
OG0000671	50	50
OG0000672	50	50
OG0000673	49	49
OG0000674	53	53
OG0000675	53	53
OG0000676	52	52
OG0000677	54	54
OG0000678	54	54
OG0000679	54	54
OG0000680	54	54
OG0000681	54	54
OG0000682	54	54
OG0000683	54	54
OG0000684	54	54
OG0000685	54	54
OG0000686	54	54
OG0000687	54	54
OG0000688	54	54
OG0000689	44	43
OG0000690	49	49
OG0000691	49	49
OG0000692	49	49
OG0000693	47	47
