Orthogroup	bombus	finch	fly	mouse	Total
OG0000000	0	0	0	2693	2693
OG0000001	0	0	0	1295	1295
OG0000002	0	0	0	920	920
OG0000003	0	0	0	786	786
OG0000004	0	0	0	679	679
OG0000005	0	0	0	624	624
OG0000006	0	0	0	597	597
OG0000007	0	0	0	549	549
OG0000008	0	0	0	499	499
OG0000009	0	0	0	469	469
OG0000010	0	0	0	466	466
OG0000011	0	0	0	452	452
OG0000012	0	0	0	444	444
OG0000013	0	0	0	436	436
OG0000014	0	0	0	426	426
OG0000015	0	0	0	408	408
OG0000016	0	0	0	405	405
OG0000017	0	0	0	387	387
OG0000018	0	0	0	385	385
OG0000019	0	0	0	383	383
OG0000020	0	0	0	376	376
OG0000021	0	0	0	375	375
OG0000022	0	0	0	371	371
OG0000023	0	0	0	369	369
OG0000024	0	0	0	359	359
OG0000025	0	0	0	346	346
OG0000026	0	0	0	346	346
OG0000027	0	0	0	303	303
OG0000028	0	0	0	289	289
OG0000029	0	0	0	289	289
OG0000030	0	0	0	285	285
OG0000031	0	34	2	246	282
OG0000032	0	0	0	281	281
OG0000033	0	221	0	55	276
OG0000034	0	0	0	270	270
OG0000035	0	0	0	268	268
OG0000036	0	0	0	265	265
OG0000037	0	0	0	265	265
OG0000038	0	0	0	264	264
OG0000039	0	0	0	263	263
OG0000040	0	0	0	261	261
OG0000041	0	0	0	258	258
OG0000042	0	0	0	255	255
OG0000043	0	0	0	253	253
OG0000044	0	0	0	251	251
OG0000045	0	0	0	246	246
OG0000046	0	0	0	243	243
OG0000047	0	0	0	234	234
OG0000048	0	0	0	233	233
OG0000049	0	0	0	233	233
OG0000050	0	0	0	228	228
OG0000051	0	0	0	222	222
OG0000052	0	0	0	222	222
OG0000053	0	0	0	221	221
OG0000054	0	0	0	219	219
OG0000055	0	0	0	216	216
OG0000056	0	0	0	213	213
OG0000057	0	0	0	213	213
OG0000058	0	0	0	207	207
OG0000059	0	0	0	203	203
OG0000060	0	0	0	203	203
OG0000061	0	0	0	201	201
OG0000062	0	0	0	201	201
OG0000063	0	0	0	198	198
OG0000064	0	0	0	197	197
OG0000065	0	0	0	197	197
OG0000066	0	0	0	196	196
OG0000067	17	72	1	105	195
OG0000068	0	0	0	195	195
OG0000069	0	0	0	194	194
OG0000070	0	0	0	190	190
OG0000071	0	0	0	189	189
OG0000072	0	0	0	189	189
OG0000073	0	0	0	188	188
OG0000074	0	1	0	186	187
OG0000075	0	0	0	184	184
OG0000076	0	0	0	180	180
OG0000077	1	2	1	174	178
OG0000078	0	0	0	178	178
OG0000079	0	6	1	170	177
OG0000080	0	0	0	177	177
OG0000081	0	0	0	177	177
OG0000082	0	0	0	175	175
OG0000083	0	0	0	173	173
OG0000084	0	0	0	172	172
OG0000085	0	0	0	171	171
OG0000086	0	0	0	171	171
OG0000087	0	0	0	170	170
OG0000088	0	0	0	170	170
OG0000089	0	0	0	169	169
OG0000090	0	0	0	169	169
OG0000091	0	0	0	169	169
OG0000092	0	0	0	169	169
OG0000093	0	0	0	168	168
OG0000094	0	0	0	168	168
OG0000095	0	0	0	168	168
OG0000096	0	0	0	167	167
OG0000097	0	0	0	167	167
OG0000098	0	0	0	165	165
OG0000099	0	0	0	165	165
OG0000100	0	0	0	165	165
OG0000101	0	0	0	164	164
OG0000102	0	0	0	164	164
OG0000103	0	0	0	162	162
OG0000104	0	0	0	162	162
OG0000105	0	0	0	162	162
OG0000106	0	0	0	161	161
OG0000107	0	0	0	161	161
OG0000108	0	0	0	160	160
OG0000109	0	0	0	158	158
OG0000110	0	0	0	158	158
OG0000111	0	0	0	157	157
OG0000112	0	0	0	154	154
OG0000113	0	0	0	153	153
OG0000114	0	0	0	152	152
OG0000115	0	0	1	148	149
OG0000116	0	0	0	149	149
OG0000117	0	0	0	149	149
OG0000118	0	0	0	149	149
OG0000119	44	13	2	89	148
OG0000120	0	0	0	148	148
OG0000121	0	0	0	148	148
OG0000122	0	0	0	148	148
OG0000123	22	31	1	92	146
OG0000124	0	0	0	146	146
OG0000125	0	0	0	145	145
OG0000126	0	0	0	145	145
OG0000127	0	0	0	144	144
OG0000128	0	0	0	142	142
OG0000129	0	0	0	142	142
OG0000130	0	0	0	142	142
OG0000131	0	0	0	141	141
OG0000132	0	0	0	140	140
OG0000133	0	0	0	139	139
OG0000134	0	0	0	139	139
OG0000135	0	0	0	139	139
OG0000136	0	138	0	0	138
OG0000137	0	0	0	138	138
OG0000138	0	0	0	138	138
OG0000139	0	0	0	137	137
OG0000140	0	0	0	136	136
OG0000141	0	0	0	135	135
OG0000142	0	0	0	135	135
OG0000143	0	0	0	135	135
OG0000144	0	0	0	135	135
OG0000145	0	0	0	134	134
OG0000146	0	0	0	134	134
OG0000147	0	0	0	133	133
OG0000148	0	0	0	132	132
OG0000149	0	0	0	132	132
OG0000150	0	0	0	132	132
OG0000151	0	0	0	132	132
OG0000152	0	0	0	131	131
OG0000153	0	0	0	131	131
OG0000154	0	0	0	131	131
OG0000155	0	0	0	131	131
OG0000156	0	0	0	130	130
OG0000157	0	0	0	130	130
OG0000158	0	0	0	129	129
OG0000159	0	0	0	129	129
OG0000160	0	0	0	129	129
OG0000161	0	0	0	128	128
OG0000162	0	0	0	128	128
OG0000163	0	0	0	127	127
OG0000164	0	0	0	126	126
OG0000165	0	0	0	126	126
OG0000166	0	0	0	126	126
OG0000167	0	0	0	125	125
OG0000168	0	0	0	125	125
OG0000169	0	0	0	125	125
OG0000170	1	8	1	114	124
OG0000171	0	0	0	123	123
OG0000172	0	0	0	123	123
OG0000173	1	5	1	115	122
OG0000174	0	0	0	122	122
OG0000175	0	0	0	122	122
OG0000176	0	2	0	119	121
OG0000177	29	46	1	44	120
OG0000178	0	0	0	119	119
OG0000179	0	0	0	119	119
OG0000180	0	0	0	119	119
OG0000181	0	0	0	118	118
OG0000182	0	0	0	118	118
OG0000183	0	0	0	117	117
OG0000184	0	0	0	117	117
OG0000185	0	0	0	116	116
OG0000186	0	0	0	115	115
OG0000187	0	0	0	115	115
OG0000188	0	0	0	115	115
OG0000189	32	44	1	37	114
OG0000190	0	0	0	114	114
OG0000191	0	0	0	114	114
OG0000192	0	0	0	114	114
OG0000193	0	0	0	113	113
OG0000194	0	0	0	113	113
OG0000195	0	0	0	113	113
OG0000196	0	0	0	111	111
OG0000197	0	1	0	109	110
OG0000198	0	0	0	110	110
OG0000199	0	0	0	110	110
OG0000200	0	0	0	110	110
OG0000201	0	0	0	109	109
OG0000202	0	0	0	109	109
OG0000203	0	6	0	101	107
OG0000204	0	0	0	107	107
OG0000205	0	0	0	107	107
OG0000206	0	0	0	107	107
OG0000207	0	0	0	107	107
OG0000208	0	0	0	106	106
OG0000209	17	24	1	63	105
OG0000210	0	1	0	104	105
OG0000211	0	0	0	105	105
OG0000212	0	0	0	105	105
OG0000213	6	8	7	83	104
OG0000214	0	0	0	104	104
OG0000215	10	39	1	53	103
OG0000216	10	25	1	67	103
OG0000217	0	0	0	103	103
OG0000218	0	0	0	103	103
OG0000219	0	1	0	101	102
OG0000220	0	0	0	101	101
OG0000221	0	0	0	100	100
OG0000222	0	0	0	100	100
OG0000223	0	0	0	100	100
OG0000224	0	0	0	99	99
OG0000225	0	0	0	99	99
OG0000226	0	0	0	99	99
OG0000227	0	1	0	97	98
OG0000228	0	0	0	98	98
OG0000229	0	97	0	0	97
OG0000230	0	0	0	97	97
OG0000231	0	0	0	97	97
OG0000232	4	6	52	34	96
OG0000233	0	0	0	96	96
OG0000234	0	0	0	96	96
OG0000235	0	0	0	96	96
OG0000236	0	0	0	95	95
OG0000237	0	0	0	95	95
OG0000238	0	0	0	95	95
OG0000239	0	0	0	95	95
OG0000240	0	0	0	95	95
OG0000241	13	21	2	58	94
OG0000242	9	14	5	66	94
OG0000243	0	0	0	94	94
OG0000244	0	0	0	94	94
OG0000245	0	0	0	93	93
OG0000246	0	0	0	93	93
OG0000247	0	50	0	42	92
OG0000248	0	0	0	92	92
OG0000249	0	0	0	91	91
OG0000250	0	0	0	91	91
OG0000251	0	0	0	91	91
OG0000252	0	0	0	91	91
OG0000253	0	0	0	91	91
OG0000254	0	0	0	91	91
OG0000255	0	0	0	91	91
OG0000256	0	0	0	90	90
OG0000257	0	0	0	90	90
OG0000258	0	0	0	90	90
OG0000259	0	0	0	90	90
OG0000260	0	0	0	90	90
OG0000261	0	0	0	90	90
OG0000262	0	0	0	90	90
OG0000263	10	28	1	50	89
OG0000264	2	8	1	78	89
OG0000265	0	0	0	89	89
OG0000266	0	0	0	89	89
OG0000267	0	0	0	89	89
OG0000268	0	0	0	89	89
OG0000269	0	0	0	89	89
OG0000270	0	0	0	89	89
OG0000271	0	0	0	89	89
OG0000272	8	29	1	50	88
OG0000273	40	31	1	16	88
OG0000274	19	33	1	35	88
OG0000275	14	15	2	57	88
OG0000276	0	0	0	88	88
OG0000277	0	0	0	88	88
OG0000278	13	17	1	56	87
OG0000279	0	0	0	87	87
OG0000280	0	0	0	87	87
OG0000281	0	0	0	87	87
OG0000282	0	0	0	87	87
OG0000283	0	0	0	87	87
OG0000284	0	0	0	87	87
OG0000285	0	0	0	87	87
OG0000286	0	0	0	86	86
OG0000287	0	0	0	86	86
OG0000288	0	0	0	86	86
OG0000289	0	0	0	86	86
OG0000290	0	0	0	86	86
OG0000291	25	18	6	36	85
OG0000292	10	22	3	50	85
OG0000293	0	1	0	84	85
OG0000294	0	0	0	85	85
OG0000295	0	0	0	85	85
OG0000296	0	0	0	85	85
OG0000297	0	0	0	85	85
OG0000298	0	0	0	85	85
OG0000299	0	0	0	85	85
OG0000300	0	0	0	85	85
OG0000301	5	24	1	54	84
OG0000302	25	30	1	28	84
OG0000303	17	20	1	46	84
OG0000304	0	0	0	84	84
OG0000305	1	18	1	63	83
OG0000306	14	18	2	49	83
OG0000307	11	24	1	47	83
OG0000308	0	0	0	83	83
OG0000309	0	0	0	83	83
OG0000310	0	0	0	83	83
OG0000311	0	0	0	83	83
OG0000312	0	0	0	83	83
OG0000313	8	19	1	54	82
OG0000314	2	30	1	49	82
OG0000315	7	13	5	57	82
OG0000316	0	82	0	0	82
OG0000317	0	0	0	82	82
OG0000318	0	0	0	82	82
OG0000319	0	0	0	82	82
OG0000320	4	25	4	48	81
OG0000321	0	0	0	81	81
OG0000322	0	0	0	81	81
OG0000323	0	0	0	81	81
OG0000324	0	0	0	81	81
OG0000325	0	0	0	81	81
OG0000326	3	11	2	64	80
OG0000327	0	0	0	80	80
OG0000328	0	0	0	80	80
OG0000329	6	36	1	36	79
OG0000330	12	23	2	42	79
OG0000331	4	17	1	57	79
OG0000332	0	0	0	79	79
OG0000333	0	0	0	79	79
OG0000334	0	0	0	79	79
OG0000335	15	28	1	34	78
OG0000336	1	23	0	54	78
OG0000337	0	0	0	78	78
OG0000338	0	0	0	78	78
OG0000339	0	0	0	78	78
OG0000340	0	0	0	78	78
OG0000341	0	0	0	78	78
OG0000342	0	0	0	78	78
OG0000343	0	0	0	78	78
OG0000344	0	0	0	78	78
OG0000345	0	0	0	78	78
OG0000346	0	0	0	78	78
OG0000347	0	0	0	78	78
OG0000348	25	20	1	31	77
OG0000349	13	10	12	42	77
OG0000350	0	24	0	53	77
OG0000351	0	0	0	77	77
OG0000352	0	0	0	77	77
OG0000353	0	0	0	77	77
OG0000354	17	8	5	46	76
OG0000355	1	25	1	49	76
OG0000356	0	76	0	0	76
OG0000357	0	0	0	76	76
OG0000358	0	0	0	76	76
OG0000359	0	0	0	76	76
OG0000360	0	0	0	76	76
OG0000361	6	29	1	39	75
OG0000362	10	6	10	49	75
OG0000363	0	75	0	0	75
OG0000364	0	0	0	75	75
OG0000365	0	0	0	75	75
OG0000366	0	0	0	75	75
OG0000367	0	0	0	75	75
OG0000368	0	0	0	75	75
OG0000369	0	0	0	75	75
OG0000370	0	0	0	75	75
OG0000371	0	0	0	75	75
OG0000372	0	0	0	75	75
OG0000373	0	0	0	75	75
OG0000374	0	0	0	75	75
OG0000375	5	6	2	61	74
OG0000376	0	0	0	74	74
OG0000377	0	0	0	74	74
OG0000378	0	0	0	74	74
OG0000379	0	0	0	74	74
OG0000380	0	0	0	74	74
OG0000381	0	0	0	74	74
OG0000382	0	0	0	74	74
OG0000383	0	0	0	74	74
OG0000384	0	0	0	73	73
OG0000385	0	0	0	73	73
OG0000386	0	0	0	73	73
OG0000387	0	0	0	73	73
OG0000388	0	0	0	73	73
OG0000389	16	19	1	36	72
OG0000390	4	27	1	40	72
OG0000391	14	20	1	37	72
OG0000392	0	1	0	71	72
OG0000393	0	32	1	39	72
OG0000394	0	0	0	72	72
OG0000395	0	0	0	72	72
