Orthogroup	fly	bombus
OG0000067	sp|P16621|LAR_DROME	XP_024227986.1, XP_024227985.1, XP_024227984.1, XP_024227981.1, XP_024227979.1, XP_033180491.1, XP_024227980.1, XP_024227983.1, XP_033180493.1, XP_024227987.1, XP_024227988.1, XP_033180494.1, XP_024227989.1, XP_024227990.1
OG0000077	tr|A1ZAJ5|A1ZAJ5_DROME	XP_003488291.1
OG0000119	sp|P05661|MYSA_DROME	XP_024225123.1, XP_033178011.1, XP_012243984.1, XP_024225124.1, XP_024225125.1, XP_024225128.1, XP_033178000.1, XP_033178009.1, XP_033178004.1, XP_033178005.1, XP_033178006.1, XP_033178001.1, XP_033178003.1, XP_033178008.1, XP_033178002.1, XP_033177997.1, XP_033177996.1, XP_024225129.1, XP_033177999.1, XP_033178010.1, XP_033178007.1, XP_024225122.1, XP_033177995.1, XP_024225127.1, XP_012243985.1, XP_024225120.1, XP_033177992.1, XP_012243990.1, XP_033177993.1, XP_012243982.1, XP_024225121.1, XP_012243983.1, XP_033177994.1, XP_012243987.1
OG0000119	sp|Q99323|MYSN_DROME	XP_024223620.1, XP_024223618.1, XP_024223619.1, XP_024223626.1, XP_012241437.1, XP_024223621.1, XP_024223622.1, XP_024223623.1, XP_024223624.1, XP_024223625.1
OG0000123	sp|P91645|CAC1A_DROME	XP_033177527.1, XP_033177529.1, XP_033177528.1, XP_033177525.1, XP_033177521.1, XP_033177522.1, XP_033177523.1, XP_033177519.1, XP_033177518.1, XP_033177524.1, XP_033177537.1, XP_033177533.1, XP_033177534.1, XP_033177520.1, XP_033177530.1, XP_033177531.1, XP_033177526.1, XP_033177535.1, XP_033177538.1, XP_033177532.1, XP_033177536.1, XP_033177539.1
OG0000170	sp|P18935|CYB_DROME	AAG14444.1
OG0000173	tr|Q9Y125|Q9Y125_DROME	XP_033180627.1
OG0000177	sp|P31007|DLG1_DROME	XP_024224660.1, XP_033177635.1, XP_024224656.1, XP_012243178.1, XP_024224649.1, XP_024224661.1, XP_024224646.1, XP_024224654.1, XP_024224653.1, XP_024224652.1, XP_024224662.1, XP_024224651.1, XP_033177630.1, XP_033177631.1, XP_024224648.1, XP_033177632.1, XP_024224647.1, XP_024224650.1, XP_012243170.2, XP_024224655.1, XP_012243164.2, XP_012243167.1, XP_012243166.1, XP_033177633.1, XP_012243171.1
OG0000189	sp|Q00168|KCC2A_DROME	XP_024225890.1, XP_033178657.1, XP_033178659.1, XP_024225889.1, XP_024225885.1, XP_024225884.1, XP_024225878.1, XP_024225879.1, XP_003492263.1, XP_012245260.1, XP_024225883.1, XP_024225880.1, XP_024225872.1, XP_024225867.1, XP_024225866.1, XP_024225875.1, XP_024225869.1, XP_024225871.1, XP_024225874.1, XP_012245266.1, XP_012245262.1, XP_012245264.1, XP_003492262.1, XP_024225887.1, XP_024225886.1, XP_003492264.1, XP_024225882.1, XP_024225881.1, XP_012245247.1, XP_024225894.1, XP_033178660.1, XP_024225892.1
OG0000209	tr|Q8IPI3|Q8IPI3_DROME	XP_033179945.1, XP_033179944.1, XP_033179946.1, XP_033179940.1, XP_033179941.1, XP_033179942.1, XP_033179949.1, XP_033179951.1, XP_033179952.1, XP_033179953.1, XP_033179956.1, XP_033179947.1, XP_033179943.1, XP_033179950.1, XP_033179948.1, XP_033179955.1, XP_033179954.1
