Orthogroup	bombus	mouse
OG0000067	XP_024227995.1, XP_024227994.1, XP_024227993.1	NP_001239384.1, NP_001239382.1, NP_001239385.1, AAH52462.1, XP_006523944.1, XP_006523943.1, XP_006523942.1, XP_006523941.1, XP_036016311.1, XP_017172838.1, XP_036016310.1, XP_006523939.1, XP_030105455.1, XP_006523937.1, XP_006523938.1, XP_036016309.1, XP_006523940.1, BAA05886.1, prf||2103274A, NP_035348.2, sp|B0V2N1.1|PTPRS_MOUSE, EDL38168.1, CAA57732.1, AAH83188.1
OG0000067	XP_024227986.1, XP_024227985.1, XP_024227984.1, XP_024227981.1, XP_024227979.1, XP_033180491.1, XP_024227980.1, XP_024227983.1, XP_033180493.1, XP_024227987.1, XP_024227988.1, XP_033180494.1, XP_024227989.1, XP_024227990.1	XP_036019746.1, XP_030109195.1, XP_036019742.1, XP_036019744.1, XP_036019749.1, XP_030109196.1, XP_036019752.1, XP_036019740.1, XP_036019739.1, XP_036019741.1, XP_036019750.1, XP_030109199.1, XP_036019753.1, XP_036019755.1, XP_036019754.1, sp|Q64487.3|PTPRD_MOUSE, XP_036019751.1, XP_030109197.1, XP_036019734.1, XP_036019731.1, XP_036019732.1, XP_036019736.1, XP_036019735.1, XP_036019733.1, XP_036019737.1, XP_036019738.1, XP_036019747.1, XP_036019745.1, XP_036019743.1, XP_036019761.1, XP_036019760.1, XP_030109201.1, XP_036019759.1, XP_036019757.1, XP_036019756.1, XP_036019758.1, NP_035341.2, AAI41410.1, XP_036019771.1, NP_001339558.1, XP_036019766.1, XP_036019762.1, XP_036019764.1, XP_036019767.1, XP_011248265.1, EDL31049.1, XP_036019763.1, XP_006502932.1, sp|A2A8L5.1|PTPRF_MOUSE, NP_035343.2, AAG40194.1, XP_006502928.1, XP_036019778.1, XP_036019780.1, XP_036019777.1, XP_030109223.1, XP_036019785.1, XP_006502939.1, XP_030109222.1, XP_036019784.1, XP_036019782.1, XP_036019781.1, XP_036019779.1, XP_006502937.1, XP_006502938.1, XP_006502927.1, XP_006502930.1, XP_036019773.1, XP_006502935.1, XP_036019775.1, XP_030109220.1, XP_036019786.1, XP_036019776.1, XP_036019783.1, XP_030109221.1, XP_006502934.1, XP_036019772.1, XP_036019774.1, XP_006502931.1, XP_006502929.1, XP_006502933.1
OG0000077	XP_003488291.1	QPL12600.1, QPL12612.1, QQO58441.1, QQO58476.1, QQO58524.1, QQO58446.1, QQO58468.1, QQO58492.1, QQO58471.1, QQO58467.1, QQO58449.1, QQO58434.1, QQO58448.1, QPL12613.1, QPL12611.1, QPL12615.1, QPL12606.1, QPL12597.1, QPL12622.1, QPL12598.1, QPL12609.1, QPL12621.1, QPL12619.1, QPL12624.1, QPL12607.1, QPL12623.1, QPL12599.1, NP_081397.1, AAR82916.1, sp|Q6TEK5.1|VKORL_MOUSE, AAI38133.1, AAI25316.1, NP_001273311.1, EDL19489.1, BAB26325.1, QPL12588.1, QPL12586.1, QPL12580.1, QPL12602.1, QPL12605.1, QQO58619.1, QPL12620.1, QPL12589.1, QPL12608.1, QPL12604.1, QPL12614.1, QPL12617.1, QPL12616.1, QPL12590.1, QPL12592.1, QPL12581.1, QPL12583.1, QPL12584.1, QPL12603.1, QPL12593.1, QPL12591.1, QPL12582.1, QPL12579.1, EDL17601.1, QPL12596.1, QPL12585.1, QQO58489.1, QQO58604.1, QQO58641.1, QQO58462.1, QQO58477.1, QQO58613.1, QQO58507.1, ADN94697.1, ADN94698.1, QQO58513.1, QQO58732.1, QQO58546.1, QQO58526.1, QQO58525.1, QQO58511.1, QQO58554.1, QQO58570.1, QQO58608.1, QIJ55490.1, QIJ55489.1, QQO58498.1, sp|Q9CRC0.1|VKOR1_MOUSE, NP_848715.1, QQO58504.1, QQO58514.1, QQO58510.1, QQO58517.1, QQO58453.1, QQO58455.1, QQO58611.1, QQO58733.1, QQO58518.1, QQO58572.1, QQO58519.1, ADN94695.1, ADN33373.1, ADN94693.1, ADN94692.1, ADN33372.1, ADN33370.1, QQO58466.1, QQO58465.1, QQO58456.1, BAB22320.1, QQO58473.1, AAH31732.1, ADN33371.1, QQO58437.1, ADN94696.1, BAB25757.1, QQO58497.1, EDL17600.1, BAB29106.1, QQO58460.1, QQO58479.1, QQO58464.1, QQO58431.1, QQO58447.1, QQO58438.1, BAB22661.1, QQO58491.1, BAB25708.1, QQO58731.1, QQO58429.1, QQO58620.1, QQO58624.1, QQO58459.1, QQO58617.1, QQO58625.1, QQO58515.1, QQO58621.1, QQO58540.1, QQO58616.1, QQO58736.1, QQO58571.1, QQO58463.1, QQO58575.1, QQO58610.1, QQO58609.1, QQO58601.1, QQO58454.1, QQO58480.1, QQO58550.1, QQO58481.1, QQO58520.1, QQO58551.1, QQO58439.1, QQO58562.1, QQO58627.1, QQO58516.1, QQO58628.1, QQO58598.1, QQO58496.1, QQO58597.1, QQO58640.1, QQO58534.1, QQO58545.1, QQO58538.1, QQO58557.1, QQO58552.1, QQO58558.1, QQO58561.1, QQO58555.1, QQO58563.1, QQO58605.1, QQO58607.1, QQO58614.1, QQO58612.1, QQO58523.1, QQO58623.1, QQO58432.1, QQO58469.1, QPL12595.1
OG0000119	XP_024225123.1, XP_033178011.1, XP_012243984.1, XP_024225124.1, XP_024225125.1, XP_024225128.1, XP_033178000.1, XP_033178009.1, XP_033178004.1, XP_033178005.1, XP_033178006.1, XP_033178001.1, XP_033178003.1, XP_033178008.1, XP_033178002.1, XP_033177997.1, XP_033177996.1, XP_024225129.1, XP_033177999.1, XP_033178010.1, XP_033178007.1, XP_024225122.1, XP_033177995.1, XP_024225127.1, XP_012243985.1, XP_024225120.1, XP_033177992.1, XP_012243990.1, XP_033177993.1, XP_012243982.1, XP_024225121.1, XP_012243983.1, XP_033177994.1, XP_012243987.1	BAE34176.1, AAH61145.1, AAH90979.1
OG0000119	XP_024223620.1, XP_024223618.1, XP_024223619.1, XP_024223626.1, XP_012241437.1, XP_024223621.1, XP_024223622.1, XP_024223623.1, XP_024223624.1, XP_024223625.1	pdb|7QIO|M, pdb|7QIN|M, pdb|7QIO|L, pdb|7QIN|L, pdb|7NEP|M, pdb|7NEP|L, BAC30831.1, BAE23716.1, NP_001074719.1, EDL10432.1, XP_017174700.1, sp|A2AQP0.1|MYH7B_MOUSE, XP_017174697.1, XP_017174699.1, XP_017174696.1, XP_006500110.1, XP_017174695.1, XP_017174698.1, XP_036018393.1, XP_036018392.1, EDL06136.1, NP_001078847.1, BAC32210.1, BAC32206.1, BAC34988.1, XP_036012983.1, sp|Q61879.2|MYH10_MOUSE, NP_780469.1, AAH89011.1, XP_017170324.1, BAE27998.1, AAH59863.1, AAH98465.1, EDL10453.1, XP_017170323.1, XP_006534552.1, XP_036012982.1, NP_038635.2, EDK97391.1, BAE27776.1, BAE27763.1, BAE27765.1, CAC85955.1, BAE27761.1, BAE27772.1, BAE27773.1, BAE27766.1, BAE27768.1, BAE27767.1, BAE27777.1, BAE27778.1, BAE27783.1, BAE27785.1, BAE27829.1, EDL29650.1, BAE27906.1, sp|Q8VDD5.4|MYH9_MOUSE, BAE27894.1, NP_071855.2
OG0000123	XP_033177527.1, XP_033177529.1, XP_033177528.1, XP_033177525.1, XP_033177521.1, XP_033177522.1, XP_033177523.1, XP_033177519.1, XP_033177518.1, XP_033177524.1, XP_033177537.1, XP_033177533.1, XP_033177534.1, XP_033177520.1, XP_033177530.1, XP_033177531.1, XP_033177526.1, XP_033177535.1, XP_033177538.1, XP_033177532.1, XP_033177536.1, XP_033177539.1	XP_006529168.1, XP_017168219.1, XP_017168284.1, XP_017168255.1, XP_017168313.1, XP_017168234.1, XP_030099789.1, XP_011246211.1, XP_030099786.1, XP_017168201.1, XP_017168067.1, XP_017168117.1, XP_017168131.1, XP_017168102.1, XP_017168149.1, XP_017168171.1, XP_017168108.1, AAI50751.1, XP_017168337.1, XP_011246218.1, XP_030100014.1, EDL39414.1, NP_033912.2, sp|Q61290.1|CAC1E_MOUSE, AAA59206.1, XP_036011834.1, XP_017170644.1, XP_006497701.1, XP_006497700.1, XP_017170629.1, XP_006497689.1, XP_006497690.1, XP_006497698.1, XP_017170630.1, XP_006497692.1, XP_006497691.1, XP_006497693.1, XP_017170645.1, XP_017170635.1, XP_006497694.1, sp|O55017.1|CAC1B_MOUSE, NP_001035993.1, AAB97840.1, XP_006497696.1, XP_006497695.1, XP_006497697.1, NP_031605.2, AAB60437.1, EDL08175.1, EDL08174.1, EDL10945.1, EDL10946.1, NP_001238989.1, BAB85611.1, BAA33546.1, NP_062528.2, CAE30292.1, AAF86764.1, sp|Q9JIS7.1|CAC1F_MOUSE, XP_030107268.1, ACM24798.1, sp|Q02789.3|CAC1S_MOUSE, NP_001074492.1, BAE25427.1, BAE24989.1, EDL39558.1, NP_055008.2, NP_001389878.1, AAI34370.1, BAA84110.1, AAC52940.1, BAB85612.1, NP_001238990.1, AAW56205.1, NP_031604.3, sp|P97445.2|CAC1A_MOUSE, BAE27823.1, XP_006530654.1, XP_030099121.1, XP_030099122.1, XP_011246587.1, XP_036009625.1, XP_030099120.1, XP_006530651.1, XP_006530656.1, XP_006530659.1, XP_006530661.1, XP_006530663.1, XP_006530660.1, XP_006530652.1, XP_006530662.1, XP_006530658.1
OG0000170	AAG14444.1	BAN92026.1, BBF16966.1, BAE20365.1, BAN92129.1, BAE20364.1, BAN92124.1, BAE20366.1, BAN92136.1, BBF16967.1, BAE20371.1, BBF16968.1, BAE20367.1, BAN92038.1, AGY29790.1, AGK29659.1, AGY29848.1, BCG28644.1, AHG32135.1, BCG29004.1, BCG28896.1, AQV05387.1, AGY29830.1, BCG29218.1, ANV22330.1, ANV22331.1, ANV22269.1, ANV22270.1, ANV22268.1, BCG29271.1, ANV22319.1, ANV22337.1, AGY29817.1, AGY29847.1, ANV22276.1, ANV22287.1, ANV22288.1, ANV22292.1, ANV22286.1, ANV22289.1, ANV22291.1, ANV22290.1, ALR88729.1, ALR88721.1, AHG32070.1, QKY88606.1, QKY88607.1, QKY88605.1, BAO05404.1, AVX28307.1, BAU20216.1, BAN92070.1, QKE11569.1, QKE11567.1, QKE11562.1, QKE11561.1, QKE11564.1, QKE11570.1, QKE11573.1, QKE11571.1, QKE11565.1, QKE11572.1, QKE11568.1, QKE11566.1, QKE11560.1, APP89327.1, APP89328.1, APP89329.1, QLP89224.1, QLP89260.1, QLP89238.1, QLP89225.1, AAO33292.1, QLP89222.1, QLP89233.1, BCS80004.1, BCS80007.1, QLP89239.1, QLP89243.1, QLP89173.1, QLP89172.1, QLP89269.1, QLP89230.1, QLP89216.1, QLP89227.1, QLP89240.1, QLP89257.1, QLP89278.1, QLP89219.1, QLP89248.1, BCS80013.1, QLP89181.1, BCS80014.1, BCS80011.1, QLP89251.1, QLP89277.1, QLP89271.1, QLP89242.1, QLP89232.1, QLP89276.1, QLP89268.1, QLP89247.1, QLP89259.1, QLP89250.1, QLP89229.1, QLP89275.1, QLP89270.1, QLP89258.1, QLP89237.1, QLP89267.1, QLP89231.1, QLP89217.1, QLP89274.1, QLP89261.1, BAA85860.1
OG0000173	XP_033180627.1	BAE34926.1, BAE35126.1, NP_001139594.1, BAE34908.1, pdb|5U85|B, XP_036011585.1, BAE29082.1, XP_036011584.1, NP_001139596.1, BAE35237.1, BAE30226.1, BAE30477.1, BAE30240.1, NP_001139595.1, EDL32175.1, EDL32176.1, pdb|5U85|A, NP_035309.3, XP_017169338.1, XP_017169337.1, AAB02695.1, EDL32178.1, sp|Q61207.2|SAP_MOUSE, BAE28613.1, AAI41090.1, NP_001139593.1, EDL32177.1, BAE31094.1, BAE35317.1, BAE39233.1, BAE39142.1, BAE31964.1, BAE31272.1, AAI45360.1, BAE35307.1, BAE39912.1, BAE35496.1, NP_001139592.1, BAE41782.1, BAE26658.1, BAE31352.1, BAE30788.1, BAE30975.1, BAE35561.1, BAE30967.1, BAE30961.1, BAE31032.1, BAE31147.1, BAE35544.1, BAE31311.1, EDL32174.1, BAE30819.1, BAE35567.1, BAE29473.1, BAE31522.1, BAE35248.1, BAE35533.1, BAE35588.1, AAA92567.1, BAE30775.1, BAE35142.1, BAE39359.1, BAE34824.1, BAE38955.1, BAE39190.1, BAE35478.1, BAE35418.1, BAE35094.1, BAE35157.1, BAE35003.1, BAE34946.1, BAE39110.1, BAE34893.1, BAE35435.1, BAE30222.1, BAC40308.1, BAE35322.1, BAE36317.1, BAE35315.1, BAE39090.1, BAE30051.1, BAE22597.1, BAE30742.1, BAE39038.1, BAE39068.1, BAE38961.1, BAE35288.1, BAE35436.1, BAE35074.1, BAE30610.1, BAE35099.1, BAE35209.1, BAE30176.1, BAE39117.1, BAE35223.1, BAE35266.1, BAE35122.1, BAE39506.1, BAE39259.1, BAE36065.1, BAE35104.1, BAE28378.1, BAE35159.1, BAE35473.1, BAE35039.1, BAE38986.1, BAE39198.1, BAE30473.1, BAE34998.1, BAC41035.1, BAE35449.1, BAE34866.1, BAE31121.1, BAE31194.1, BAE39761.1
OG0000177	XP_012243179.1, XP_024224658.1, XP_033177634.1, XP_024224659.1	XP_006528186.1, sp|P70175.1|DLG3_MOUSE, EDL14165.1, NP_058027.1, BAA13249.1, NP_001277331.1, AAH94368.1, NP_001171249.1, XP_006528187.1, XP_030098403.1, XP_006507834.1, XP_006507832.1, XP_006507844.1, XP_006507843.1, XP_006507841.1, XP_006507849.1, XP_006507846.1, XP_006507847.1, XP_006507842.1, EDL06729.1, XP_036008938.1, EDL06731.1, XP_036008935.1, XP_036008927.1, XP_036008929.1, XP_036008924.1, XP_036008932.1
OG0000177	XP_024224660.1, XP_033177635.1, XP_024224656.1, XP_012243178.1, XP_024224649.1, XP_024224661.1, XP_024224646.1, XP_024224654.1, XP_024224653.1, XP_024224652.1, XP_024224662.1, XP_024224651.1, XP_033177630.1, XP_033177631.1, XP_024224648.1, XP_033177632.1, XP_024224647.1, XP_024224650.1, XP_012243170.2, XP_024224655.1, XP_012243164.2, XP_012243167.1, XP_012243166.1, XP_033177633.1, XP_012243171.1	XP_036012179.1, NP_001357601.1, XP_017172358.1, XP_030104822.1, XP_006521835.1, XP_006521836.1, XP_006521834.1, NP_001239362.1, NP_001239363.1, EDK97755.1, AAN87264.1, EDK97756.1, XP_030104819.1, XP_006521830.1, XP_006521825.1, XP_030104820.1, XP_017172361.1
