Orthogroup	mouse	finch
OG0000031	BAA31373.1	XP_030118339.3
OG0000031	NP_001397451.1, NP_001001792.1, sp|P24399.2|ZN239_MOUSE, AAH03315.1, EDK99580.1, BAE21606.1, XP_030111182.1, XP_030111183.1, EDK99581.1, EDK99582.1, NP_001397446.1, XP_036021923.1, NP_032642.2, NP_001347867.1, NP_001397448.1, NP_001397452.1, NP_001397450.1, NP_001397447.1, AAA39729.1	XP_041569019.1
OG0000031	BAA31429.1, BAA31402.1, BAA31403.1, BAA31364.1, BAA31368.1, BAA31404.1, BAA31405.1, BAA31393.1, BAA31412.1, BAA31413.1, BAA31376.1, BAA31425.1, BAA31397.1, BAA31367.1, BAA31416.1, BAA31415.1, BAA31385.1, BAA31378.1	XP_041568662.1
OG0000031	AAA39388.1, pdb|2I13|B, pdb|2I13|A, BAA31428.1, BAA31374.1, BAA31394.1, BAA31366.1, BAA31377.1, BAA31418.1, BAE25286.1, BAA31400.1, BAA31381.1, BAA31392.1, BAA31369.1, BAA31390.1, BAA31370.1, BAA31401.1, BAA31372.1, BAA31423.1, BAA31375.1, BAA31419.1, BAA31386.1, BAA31389.1, BAA31384.1, BAA31365.1, BAA31383.1, BAC40649.1	XP_041568277.1
OG0000031	EDL17520.1, XP_030098446.1, XP_030098445.1, EDL17521.1, sp|Q8BJ90.1|ZN771_MOUSE, AAI45525.1, XP_006507906.1, NP_796336.1, BAC41144.1, AAI39050.1, AAI39049.1, AAH62882.1, NP_001347845.1, AAK84216.1, AAH40067.1, NP_536709.2, EDL21909.1	XP_041568604.1, XP_030118347.1
OG0000031	NP_001357896.1, NP_001340918.1, XP_030100355.1	XP_041568595.1, XP_030118330.3, XP_041569127.1, XP_041569207.1, XP_041568597.1, XP_032600832.2, XP_041569362.1, XP_041569023.1, XP_041566907.1, XP_032601314.2, XP_041569103.1, XP_041569102.1, XP_041569222.1, XP_041569244.1, XP_041569243.1, XP_030117344.3, XP_041569051.1, XP_041569120.1, XP_041569178.1, XP_041569251.1, XP_041568289.1, XP_030117003.3, XP_041568278.1, XP_030118343.3, XP_041569267.1, XP_041568113.1, XP_041569209.1, XP_041569027.1
OG0000033	BAQ22569.1, BAQ22598.1, BAQ22601.1, BAQ22582.1, BAQ22584.1	AHM88457.1
OG0000033	BAQ22581.1, BAD16661.1, BAQ22635.1, BAQ22608.1, BAQ22602.1, BAQ22641.1, BAD16659.1, BAD16660.1, AAI19297.1, BAG85190.1, BAQ22572.1, AAI19295.1, BAQ22580.1, BAQ22577.1, BAQ22613.1, BAQ22629.1	XP_002196074.1
OG0000033	BAQ22648.1	AHM88666.1, AHM88651.1, AHM88505.1, AHM88501.1, AHM88627.1, AHM88578.1, AHM88645.1, AHM88585.1, AHM88643.1, AHM88482.1, AHM88515.1, AHM88569.1, AHM88475.1, AHM88621.1, AHM88591.1, AHM88462.1, AHM88507.1, AHM88484.1, AHM88435.1, AHM88550.1, AHM88430.1, AHM88619.1, AHM88442.1, AHM88538.1, AHM88642.1, AHM88605.1, AHM88620.1, AHM88461.1, AHM88471.1, AHM88485.1, AHM88640.1, AHM88451.1, AHM88518.1, AHM88521.1, AHM88493.1, AHM88499.1, AHM88549.1, AHM88547.1, AHM88502.1, AHM88497.1, AHM88434.1, AHM88572.1, AHM88548.1, AHM88539.1, AHM88523.1
OG0000033	BAQ22575.1	AHM88641.1, AHM88636.1, AHM88478.1, AHM88486.1, AHM88519.1, AHM88592.1
OG0000033	BAQ22611.1	AHM88628.1, AHM88448.1, AHM88513.1, AHM88454.1, AHM88522.1, AHM88541.1, AHM88470.1
OG0000033	BAQ22574.1	AHM88466.1, AHM88564.1
OG0000033	BAQ22620.1, BAQ22644.1, BAQ22622.1, BAQ22650.1, BAQ22625.1	AHM88477.1
OG0000033	BAQ22597.1	AHM88464.1, AHM88428.1, AHM88558.1, AHM88560.1, AHM88496.1, AHM88440.1, AHM88648.1, AHM88494.1, AHM88652.1, AHM88427.1, AHM88469.1, AHM88479.1, AHM88597.1, AHM88552.1, AHM88487.1, AHM88616.1, AHM88624.1, AHM88453.1, AHM88445.1, AHM88604.1, AHM88534.1, AHM88517.1, AHM88617.1, AHM88581.1, AHM88638.1, AHM88589.1, AHM88622.1, AHM88506.1, AHM88495.1, AHM88537.1, AHM88590.1, AHM88509.1, AHM88632.1, AHM88524.1, AHM88646.1, AHM88625.1, AHM88450.1, AHM88500.1, AHM88460.1, AHM88561.1, AHM88510.1, AHM88595.1, AHM88618.1, AHM88610.1, AHM88644.1, AHM88647.1, AHM88472.1, AHM88438.1, AHM88573.1, AHM88429.1, AHM88566.1, AHM88439.1, AHM88444.1, AHM88579.1, AHM88467.1, AHM88556.1, AHM88650.1, AHM88629.1, AHM88431.1, AHM88649.1, AHM88593.1, AHM88520.1, AHM88612.1, AHM88546.1, AHM88626.1, AHM88615.1, AHM88531.1, AHM88489.1, AHM88433.1, AHM88426.1, AHM88465.1, AHM88588.1, AHM88603.1, AHM88584.1, AHM88606.1, AHM88491.1, AHM88476.1, AHM88503.1, AHM88609.1, AHM88459.1, AHM88490.1, AHM88580.1, AHM88602.1, AHM88600.1, AHM88516.1, AHM88446.1, AHM88630.1, AHM88613.1, AHM88594.1, AHM88473.1, AHM88452.1, AHM88437.1, AHM88639.1, AHM88559.1, AHM88463.1, AHM88631.1, AHM88492.1, AHM88480.1, AHM88512.1, AHM88449.1, AHM88498.1, AHM88553.1, AHM88614.1, AHM88555.1, AHM88557.1, AHM88623.1, AHM88598.1, AHM88545.1, AHM88596.1, AHM88635.1, AHM88514.1, AHM88468.1, AHM88458.1, AHM88653.1, AHM88441.1, AHM88674.1, AHM88655.1, AHM88658.1, AHM88663.1, AHM88672.1, AHM88669.1, AHM88659.1, AHM88660.1, AHM88671.1, AHM88662.1, AHM88656.1, AHM88664.1, AHM88670.1, AHM88675.1, AHM88661.1, AHM88677.1, AHM88665.1, AHM88673.1, AHM88667.1, AHM88676.1, AHM88678.1, AHM88481.1, AHM88582.1, AHM88607.1, AHM88436.1, AHM88511.1, AHM88488.1, AHM88633.1, AHM88611.1, AHM88601.1, AHM88508.1, AHM88634.1, AHM88599.1, AHM88587.1, AHM88526.1, AHM88504.1, AHM88474.1
OG0000033	BAQ22612.1	AHM88447.1, AHM88543.1, AHM88432.1, AHM88483.1
