Orthogroup	bombus	finch	fly	mouse
OG0028261	XP_033180529.1			
OG0028262	XP_033180519.1			
OG0028263	XP_033180504.1			
OG0028264	XP_033180503.1			
OG0028265	XP_033180490.1			
OG0028266	XP_033180477.1			
OG0028267	XP_033180417.1			
OG0028268	XP_033180410.1			
OG0028269	XP_033180409.1			
OG0028270	XP_033180400.1			
OG0028271	XP_033180379.1			
OG0028272	XP_033180376.1			
OG0028273	XP_033180370.1			
OG0028274	XP_033180368.1			
OG0028275	XP_033180356.1			
OG0028276	XP_033180350.1			
OG0028277	XP_033180349.1			
OG0028278	XP_024227831.2			
OG0028279	XP_033180347.1			
OG0028280	XP_033180328.1			
OG0028281	XP_024227764.2			
OG0028282	XP_033180240.1			
OG0028283	XP_033180223.1			
OG0028284	XP_033180222.1			
OG0028285	XP_033180219.1			
OG0028286	XP_033180212.1			
OG0028287	XP_012248475.3			
OG0028288	XP_033180179.1			
OG0028289	XP_033180176.1			
OG0028290	XP_024227586.2			
OG0028291	XP_033180152.1			
OG0028292	XP_033180147.1			
OG0028293	XP_033180112.1			
OG0028294	XP_033180111.1			
OG0028295	XP_033180092.1			
OG0028296	XP_033180081.1			
OG0028297	XP_033180078.1			
OG0028298	XP_033180068.1			
OG0028299	XP_033180055.1			
OG0028300	XP_033180053.1			
OG0028301	XP_033180051.1			
OG0028302	XP_033180012.1			
OG0028303	XP_033179974.1			
OG0028304	XP_033179962.1			
OG0028305	XP_033179918.1			
OG0028306	XP_003494000.3			
OG0028307	XP_033179902.1			
OG0028308	XP_033179898.1			
OG0028309	XP_033179888.1			
OG0028310	XP_033179884.1			
OG0028311	XP_033179876.1			
OG0028312	XP_033179821.1			
OG0028313	XP_033179820.1			
OG0028314	XP_033179803.1			
OG0028315	XP_033179784.1			
OG0028316	XP_033179775.1			
OG0028317	XP_024227147.2			
OG0028318	XP_033179737.1			
OG0028319	XP_033179722.1			
OG0028320	XP_033179623.1			
OG0028321	XP_033179619.1			
OG0028322	XP_033179611.1			
OG0028323	XP_033179595.1			
OG0028324	XP_033179570.1			
OG0028325	XP_033179520.1			
OG0028326	XP_033179519.1			
OG0028327	XP_033179463.1			
OG0028328	XP_033179427.1			
OG0028329	XP_033179419.1			
OG0028330	XP_033179417.1			
OG0028331	XP_033179416.1			
OG0028332	XP_033179413.1			
OG0028333	XP_033179412.1			
OG0028334	XP_033179368.1			
OG0028335	XP_033179367.1			
OG0028336	XP_033179346.1			
OG0028337	XP_012246584.2			
OG0028338	XP_033179287.1			
OG0028339	XP_033179286.1			
OG0028340	XP_033179276.1			
OG0028341	XP_033179275.1			
OG0028342	XP_033179263.1			
OG0028343	XP_033179220.1			
OG0028344	XP_033179195.1			
OG0028345	XP_033179176.1			
OG0028346	XP_033179175.1			
OG0028347	XP_033179171.1			
OG0028348	XP_033179154.1			
OG0028349	XP_033179149.1			
OG0028350	XP_033179143.1			
OG0028351	XP_033179112.1			
OG0028352	XP_033179087.1			
OG0028353	XP_033179084.1			
OG0028354	XP_033179080.1			
OG0028355	XP_033179078.1			
OG0028356	XP_033179068.1			
OG0028357	XP_033179048.1			
OG0028358	XP_033179040.1			
OG0028359	XP_033179039.1			
OG0028360	XP_033179038.1			
OG0028361	XP_033179037.1			
OG0028362	XP_033179036.1			
OG0028363	XP_033179034.1			
OG0028364	XP_033179033.1			
OG0028365	XP_033179015.1			
OG0028366	XP_033179013.1			
OG0028367	XP_033178962.1			
OG0028368	XP_033178949.1			
OG0028369	XP_024226227.2			
OG0028370	XP_033178916.1			
OG0028371	XP_033178868.1			
OG0028372	XP_033178860.1			
OG0028373	XP_033178813.1			
OG0028374	XP_033178802.1			
OG0028375	XP_033178759.1			
OG0028376	XP_024226018.2			
OG0028377	XP_033178732.1			
OG0028378	XP_033178730.1			
OG0028379	XP_033178729.1			
OG0028380	XP_033178707.1			
OG0028381	XP_033178689.1			
OG0028382	XP_033178685.1			
OG0028383	XP_033178678.1			
OG0028384	XP_033178658.1			
OG0028385	XP_033178654.1			
OG0028386	XP_033178611.1			
OG0028387	XP_033178606.1			
OG0028388	XP_033178605.1			
OG0028389	XP_033178604.1			
OG0028390	XP_033178603.1			
OG0028391	XP_033178602.1			
OG0028392	XP_033178601.1			
OG0028393	XP_033178600.1			
OG0028394	XP_033178599.1			
OG0028395	XP_033178598.1			
OG0028396	XP_033178597.1			
OG0028397	XP_033178596.1			
OG0028398	XP_033178595.1			
OG0028399	XP_033178594.1			
OG0028400	XP_033178593.1			
OG0028401	XP_033178592.1			
OG0028402	XP_033178591.1			
OG0028403	XP_033178590.1			
OG0028404	XP_033178589.1			
OG0028405	XP_033178588.1			
OG0028406	XP_033178587.1			
OG0028407	XP_033178586.1			
OG0028408	XP_033178585.1			
OG0028409	XP_033178584.1			
OG0028410	XP_033178583.1			
OG0028411	XP_033178543.1			
OG0028412	XP_033178533.1			
OG0028413	XP_033178472.1			
OG0028414	XP_024225733.2			
OG0028415	XP_003492167.3			
OG0028416	XP_033178372.1			
OG0028417	XP_033178362.1			
OG0028418	XP_033178361.1			
OG0028419	XP_033178346.1			
OG0028420	XP_033178345.1			
OG0028421	XP_033178343.1			
OG0028422	XP_033178333.1			
OG0028423	XP_033178303.1			
OG0028424	XP_033178285.1			
OG0028425	XP_033178276.1			
OG0028426	XP_012244477.2			
OG0028427	XP_033178259.1			
OG0028428	XP_024225395.2			
OG0028429	XP_033178237.1			
OG0028430	XP_033178235.1			
OG0028431	XP_033178234.1			
OG0028432	XP_033178214.1			
OG0028433	XP_033178192.1			
OG0028434	XP_033178186.1			
OG0028435	XP_033178175.1			
OG0028436	XP_033178158.1			
OG0028437	XP_033178100.1			
OG0028438	XP_033178071.1			
OG0028439	XP_033178069.1			
OG0028440	XP_033178030.1			
OG0028441	XP_033177998.1			
OG0028442	XP_033177990.1			
OG0028443	XP_033177976.1			
OG0028444	XP_033177963.1			
OG0028445	XP_033177924.1			
OG0028446	XP_033177881.1			
OG0028447	XP_033177823.1			
OG0028448	XP_012243559.2			
OG0028449	XP_033177808.1			
OG0028450	XP_033177749.1			
OG0028451	XP_033177742.1			
OG0028452	XP_033177737.1			
OG0028453	XP_033177734.1			
