Orthogroup	finch	fly
OG0000031	XP_030118339.3, XP_041569019.1, XP_041568662.1, XP_041568277.1, XP_041568604.1, XP_030118347.1, XP_041568595.1, XP_030118330.3, XP_041569127.1, XP_041569207.1, XP_041568597.1, XP_032600832.2, XP_041569362.1, XP_041569023.1, XP_041566907.1, XP_032601314.2, XP_041569103.1, XP_041569102.1, XP_041569222.1, XP_041569244.1, XP_041569243.1, XP_030117344.3, XP_041569051.1, XP_041569120.1, XP_041569178.1, XP_041569251.1, XP_041568289.1, XP_030117003.3, XP_041568278.1, XP_030118343.3, XP_041569267.1, XP_041568113.1, XP_041569209.1, XP_041569027.1	sp|P39413|AEF1_DROME
OG0000067	XP_041566961.1, XP_032599935.1, XP_032599934.1, XP_032599933.1, XP_032599929.1, NP_001171001.2, XP_032599919.1, XP_041566958.1, XP_032599916.1, XP_032599928.1, XP_041566960.1, XP_032599927.1, XP_032599924.1, XP_032599920.1, XP_032599921.1, XP_041566962.1, XP_032599923.1, XP_032599926.1, XP_032599922.1, XP_032599912.1, XP_032599910.1, XP_030113093.1, XP_032599913.1, XP_032599917.1, XP_032599911.1, XP_032599936.1, XP_032599930.1, XP_032599932.1, XP_041566963.1, XP_032599951.1, XP_032599952.1, XP_032599954.1, XP_032599938.1, XP_032599937.1, XP_032599939.1, XP_032599940.1, XP_041573693.1, XP_030134789.1, XP_030134783.1, XP_030134788.1, XP_030134786.1, XP_030134800.1, XP_030134804.1, XP_030134801.1, XP_030134799.1, XP_030134798.1, XP_030134792.1, XP_032605648.1, XP_030134797.1, XP_041573695.1, XP_030134785.1, XP_030134782.1, XP_041573694.1, XP_030134784.1, XP_030134787.1, XP_030134791.1	sp|P16621|LAR_DROME
OG0000077	XP_002196290.1, XP_041575461.1	tr|A1ZAJ5|A1ZAJ5_DROME
OG0000079	ABD95512.1, ABD95525.1, YP_514827.1, ABD95499.1, ABD62289.1, ABD95538.1	sp|P18934|NU4LM_DROME
OG0000119	XP_030121584.3	sp|P05661|MYSA_DROME
OG0000119	XP_030143355.3, XP_041575871.1, XP_030141858.1, XP_041576100.1, XP_030144872.3, XP_041575847.1, XP_030143442.3, XP_030143444.3, XP_041575848.1, XP_012432819.3, XP_030118937.3	sp|Q99323|MYSN_DROME
OG0000123	XP_041573776.1, XP_041573779.1, XP_041573778.1, XP_041573775.1, XP_041573774.1, XP_041573777.1, XP_041573772.1, XP_030135486.3, XP_030135496.3, XP_041573773.1, XP_030135497.3, XP_041575652.1, XP_041575651.1, XP_030142635.1, XP_041575654.1, XP_041575650.1, XP_041575648.1, XP_041575646.1, XP_041575649.1, XP_041575647.1, XP_041575638.1, XP_041575644.1, XP_041575642.1, XP_041575643.1, XP_041575641.1, XP_041575639.1, XP_041575645.1, XP_032607365.1, XP_041575640.1, XP_041575653.1, XP_041567578.1	sp|P91645|CAC1A_DROME
OG0000170	ABB91529.1, AAR84633.1, ABD95541.1, ABD95528.1, ABD95502.1, ABD62292.1, ABD95515.1, YP_514830.1	sp|P18935|CYB_DROME
OG0000173	XP_030131494.3, XP_030131493.3, XP_030131492.3, XP_012429835.4, XP_030131491.3	tr|Q9Y125|Q9Y125_DROME
OG0000177	XP_041568160.1, XP_041574091.1, XP_041574088.1, XP_041574084.1, XP_041574083.1, XP_041574082.1, XP_041574079.1, XP_041574076.1, XP_041574075.1, XP_041574078.1, XP_041574077.1, XP_041574081.1, XP_030136007.1, XP_041574093.1, XP_030136015.1, XP_041574094.1, XP_030136013.1, XP_012431175.1, XP_041574086.1, XP_041574089.1, XP_041574087.1	sp|P31007|DLG1_DROME
