Orthogroup	finch	bombus
OG0000067	XP_030112685.1, XP_030112684.1, XP_030112682.1, XP_030112683.1, XP_030112687.1, XP_030112694.1, XP_032599734.1, XP_030112691.1, XP_030112688.1, XP_041566892.1, XP_030112686.1, XP_030112690.1, XP_041566891.1, XP_030112695.1, XP_030112702.1, XP_030112701.1	XP_024227995.1, XP_024227994.1, XP_024227993.1
OG0000067	XP_041566961.1, XP_032599935.1, XP_032599934.1, XP_032599933.1, XP_032599929.1, NP_001171001.2, XP_032599919.1, XP_041566958.1, XP_032599916.1, XP_032599928.1, XP_041566960.1, XP_032599927.1, XP_032599924.1, XP_032599920.1, XP_032599921.1, XP_041566962.1, XP_032599923.1, XP_032599926.1, XP_032599922.1, XP_032599912.1, XP_032599910.1, XP_030113093.1, XP_032599913.1, XP_032599917.1, XP_032599911.1, XP_032599936.1, XP_032599930.1, XP_032599932.1, XP_041566963.1, XP_032599951.1, XP_032599952.1, XP_032599954.1, XP_032599938.1, XP_032599937.1, XP_032599939.1, XP_032599940.1, XP_041573693.1, XP_030134789.1, XP_030134783.1, XP_030134788.1, XP_030134786.1, XP_030134800.1, XP_030134804.1, XP_030134801.1, XP_030134799.1, XP_030134798.1, XP_030134792.1, XP_032605648.1, XP_030134797.1, XP_041573695.1, XP_030134785.1, XP_030134782.1, XP_041573694.1, XP_030134784.1, XP_030134787.1, XP_030134791.1	XP_024227986.1, XP_024227985.1, XP_024227984.1, XP_024227981.1, XP_024227979.1, XP_033180491.1, XP_024227980.1, XP_024227983.1, XP_033180493.1, XP_024227987.1, XP_024227988.1, XP_033180494.1, XP_024227989.1, XP_024227990.1
OG0000077	XP_002196290.1, XP_041575461.1	XP_003488291.1
OG0000119	XP_030121584.3	XP_024225123.1, XP_033178011.1, XP_012243984.1, XP_024225124.1, XP_024225125.1, XP_024225128.1, XP_033178000.1, XP_033178009.1, XP_033178004.1, XP_033178005.1, XP_033178006.1, XP_033178001.1, XP_033178003.1, XP_033178008.1, XP_033178002.1, XP_033177997.1, XP_033177996.1, XP_024225129.1, XP_033177999.1, XP_033178010.1, XP_033178007.1, XP_024225122.1, XP_033177995.1, XP_024225127.1, XP_012243985.1, XP_024225120.1, XP_033177992.1, XP_012243990.1, XP_033177993.1, XP_012243982.1, XP_024225121.1, XP_012243983.1, XP_033177994.1, XP_012243987.1
OG0000119	XP_030143355.3, XP_041575871.1, XP_030141858.1, XP_041576100.1, XP_030144872.3, XP_041575847.1, XP_030143442.3, XP_030143444.3, XP_041575848.1, XP_012432819.3, XP_030118937.3	XP_024223620.1, XP_024223618.1, XP_024223619.1, XP_024223626.1, XP_012241437.1, XP_024223621.1, XP_024223622.1, XP_024223623.1, XP_024223624.1, XP_024223625.1
OG0000123	XP_041573776.1, XP_041573779.1, XP_041573778.1, XP_041573775.1, XP_041573774.1, XP_041573777.1, XP_041573772.1, XP_030135486.3, XP_030135496.3, XP_041573773.1, XP_030135497.3, XP_041575652.1, XP_041575651.1, XP_030142635.1, XP_041575654.1, XP_041575650.1, XP_041575648.1, XP_041575646.1, XP_041575649.1, XP_041575647.1, XP_041575638.1, XP_041575644.1, XP_041575642.1, XP_041575643.1, XP_041575641.1, XP_041575639.1, XP_041575645.1, XP_032607365.1, XP_041575640.1, XP_041575653.1, XP_041567578.1	XP_033177527.1, XP_033177529.1, XP_033177528.1, XP_033177525.1, XP_033177521.1, XP_033177522.1, XP_033177523.1, XP_033177519.1, XP_033177518.1, XP_033177524.1, XP_033177537.1, XP_033177533.1, XP_033177534.1, XP_033177520.1, XP_033177530.1, XP_033177531.1, XP_033177526.1, XP_033177535.1, XP_033177538.1, XP_033177532.1, XP_033177536.1, XP_033177539.1
OG0000170	ABB91529.1, AAR84633.1, ABD95541.1, ABD95528.1, ABD95502.1, ABD62292.1, ABD95515.1, YP_514830.1	AAG14444.1
OG0000173	XP_030131494.3, XP_030131493.3, XP_030131492.3, XP_012429835.4, XP_030131491.3	XP_033180627.1
OG0000177	XP_030128863.1, XP_030128862.1, XP_030128864.1, XP_030128865.1, XP_030128860.1, XP_032607185.1, XP_030142563.1, XP_032607166.1, XP_030142297.1, XP_030142316.1, XP_030142305.1, XP_030142331.1, XP_030142515.1, XP_030142418.3, XP_030142397.3, XP_030142463.1, XP_030142453.1, XP_012425359.1, XP_032607226.2, XP_032607211.2, XP_012425356.1, XP_041575669.1, XP_041575655.1, XP_032607186.1, XP_032607220.2	XP_012243179.1, XP_024224658.1, XP_033177634.1, XP_024224659.1
OG0000177	XP_041568160.1, XP_041574091.1, XP_041574088.1, XP_041574084.1, XP_041574083.1, XP_041574082.1, XP_041574079.1, XP_041574076.1, XP_041574075.1, XP_041574078.1, XP_041574077.1, XP_041574081.1, XP_030136007.1, XP_041574093.1, XP_030136015.1, XP_041574094.1, XP_030136013.1, XP_012431175.1, XP_041574086.1, XP_041574089.1, XP_041574087.1	XP_024224660.1, XP_033177635.1, XP_024224656.1, XP_012243178.1, XP_024224649.1, XP_024224661.1, XP_024224646.1, XP_024224654.1, XP_024224653.1, XP_024224652.1, XP_024224662.1, XP_024224651.1, XP_033177630.1, XP_033177631.1, XP_024224648.1, XP_033177632.1, XP_024224647.1, XP_024224650.1, XP_012243170.2, XP_024224655.1, XP_012243164.2, XP_012243167.1, XP_012243166.1, XP_033177633.1, XP_012243171.1
