Orthogroup	fly	mouse
OG0000031	tr|Q9VDN4|Q9VDN4_DROME	BAC40022.1
OG0000031	sp|P39413|AEF1_DROME	XP_036018996.1, XP_006501543.1, BAC28864.1, XP_006501538.1, XP_006501539.1, NP_766451.3, EDL38960.1, XP_030108479.1, XP_030108477.1, XP_030108478.1, sp|Q569E7.1|ZN697_MOUSE, AAH92534.1, AAH10651.1, BAC30184.1, EDL31332.1, XP_030111552.2, pdb|5V3J|F, pdb|5V3M|C, pdb|5V3J|E, BAA31373.1, NP_001397451.1, NP_001001792.1, sp|P24399.2|ZN239_MOUSE, AAH03315.1, EDK99580.1, BAE21606.1, XP_030111182.1, XP_030111183.1, EDK99581.1, EDK99582.1, NP_001397446.1, XP_036021923.1, NP_032642.2, NP_001347867.1, NP_001397448.1, NP_001397452.1, NP_001397450.1, NP_001397447.1, AAA39729.1, XP_030100115.1, BAA31382.1, BAC40641.1, AAA40582.1, BAB24541.1, AAA39389.1, EDL24053.1, BAC32365.1, BAB28325.1, EDL22665.1, BAA31380.1, XP_036013687.1, EDL16199.1, AAH12524.1, AAH29127.1, XP_006515360.5, AAH25828.1, BAB28688.1, CAB38535.1, BAC40191.1, AAH82570.1, XP_011248885.1, AAH85180.1, EDL24045.1, BAA08144.1, XP_011248886.1, NP_036111.2, sp|Q62513.1|ZN260_MOUSE, BAE33630.1, AAA39385.1, AAA39386.1, AAA39387.1, EDL33678.1, AAH36144.1, XP_030103358.2, BAA01477.1, EDL16190.1, BAA01478.1, XP_036021579.1, XP_011247927.1, XP_036021367.1, XP_036021365.1, XP_036021366.1, XP_017176584.1, XP_017176715.1, BAA31363.1, AAN28705.1, BAE28603.1, BAA31379.1, BAA31398.1, BAA31396.1, BAA31399.1, XP_030102884.1, XP_030103370.1, BAA31426.1, BAA31427.1, BAA31417.1, BAA31408.1, BAA31387.1, BAC32516.1, BAA31371.1, EDL01022.1, EDL24700.1, AAC52307.1, prf||2124434U, BAC40916.1, XP_030103369.2, XP_036014150.1, XP_036013617.1, XP_030102875.2, BAA31391.1, AAH34102.1, BAA31430.1, BAA31407.1, BAA31424.1, BAA31420.1, BAC28119.1, BAE22165.1, AAA39531.1, pdb|5WJQ|D, BAA31421.1, BAA31429.1, BAA31402.1, BAA31403.1, BAA31364.1, BAA31368.1, BAA31404.1, BAA31405.1, BAA31393.1, BAA31412.1, BAA31413.1, BAA31376.1, BAA31425.1, BAA31397.1, BAA31367.1, BAA31416.1, BAA31415.1, BAA31385.1, BAA31378.1, AAA39388.1, pdb|2I13|B, pdb|2I13|A, BAA31428.1, BAA31374.1, BAA31394.1, BAA31366.1, BAA31377.1, BAA31418.1, BAE25286.1, BAA31400.1, BAA31381.1, BAA31392.1, BAA31369.1, BAA31390.1, BAA31370.1, BAA31401.1, BAA31372.1, BAA31423.1, BAA31375.1, BAA31419.1, BAA31386.1, BAA31389.1, BAA31384.1, BAA31365.1, BAA31383.1, BAC40649.1, BAA31395.1, BAA31414.1, AAO18346.1, AAA37119.1, CAA31106.1, BAA31422.1, BAA31410.1, sp|Q02526.2|ZFP41_MOUSE, BAC26955.1, XP_006520958.1, NP_001038183.1, NP_035889.1, AAH53927.1, XP_006520959.1, XP_006520957.1, EDL29481.1, BAA01481.1, BAC31535.1, pdb|6ML4|A, pdb|6ML6|A, pdb|6ML5|A, pdb|6ML7|A, pdb|6ML3|A, pdb|6ML2|A, AAN28703.1, XP_036010990.1, EDL17520.1, XP_030098446.1, XP_030098445.1, EDL17521.1, sp|Q8BJ90.1|ZN771_MOUSE, AAI45525.1, XP_006507906.1, NP_796336.1, BAC41144.1, AAI39050.1, AAI39049.1, AAH62882.1, NP_001347845.1, AAK84216.1, AAH40067.1, NP_536709.2, EDL21909.1, XP_030111211.1, AAH48843.1, NP_001333578.1, NP_001333579.1, NP_808352.1, sp|Q80V23.1|ZNF32_MOUSE, EDK99579.1, XP_006506080.1, NP_001333577.1, BAE27433.1, NP_001333576.1, EDK99578.1, XP_036021955.1, XP_036021956.1, NP_001333582.1, NP_001333580.1, XP_030111212.1, XP_036021954.1, AAH21601.1, XP_017177029.1, XP_030111213.1, NP_001333581.1, NP_001357896.1, NP_001340918.1, XP_030100355.1, AAG12466.1, BAE31413.1, EDK99566.1, AAH18339.1, BAC38716.1, BAE41015.1, NP_001289369.1, NP_001289368.1, NP_080333.1, sp|Q9ERU3.2|ZNF22_MOUSE, EDK99565.1, XP_030111415.1
OG0000067	sp|P16621|LAR_DROME	XP_036019746.1, XP_030109195.1, XP_036019742.1, XP_036019744.1, XP_036019749.1, XP_030109196.1, XP_036019752.1, XP_036019740.1, XP_036019739.1, XP_036019741.1, XP_036019750.1, XP_030109199.1, XP_036019753.1, XP_036019755.1, XP_036019754.1, sp|Q64487.3|PTPRD_MOUSE, XP_036019751.1, XP_030109197.1, XP_036019734.1, XP_036019731.1, XP_036019732.1, XP_036019736.1, XP_036019735.1, XP_036019733.1, XP_036019737.1, XP_036019738.1, XP_036019747.1, XP_036019745.1, XP_036019743.1, XP_036019761.1, XP_036019760.1, XP_030109201.1, XP_036019759.1, XP_036019757.1, XP_036019756.1, XP_036019758.1, NP_035341.2, AAI41410.1, XP_036019771.1, NP_001339558.1, XP_036019766.1, XP_036019762.1, XP_036019764.1, XP_036019767.1, XP_011248265.1, EDL31049.1, XP_036019763.1, XP_006502932.1, sp|A2A8L5.1|PTPRF_MOUSE, NP_035343.2, AAG40194.1, XP_006502928.1, XP_036019778.1, XP_036019780.1, XP_036019777.1, XP_030109223.1, XP_036019785.1, XP_006502939.1, XP_030109222.1, XP_036019784.1, XP_036019782.1, XP_036019781.1, XP_036019779.1, XP_006502937.1, XP_006502938.1, XP_006502927.1, XP_006502930.1, XP_036019773.1, XP_006502935.1, XP_036019775.1, XP_030109220.1, XP_036019786.1, XP_036019776.1, XP_036019783.1, XP_030109221.1, XP_006502934.1, XP_036019772.1, XP_036019774.1, XP_006502931.1, XP_006502929.1, XP_006502933.1
OG0000077	tr|A1ZAJ5|A1ZAJ5_DROME	QPL12600.1, QPL12612.1, QQO58441.1, QQO58476.1, QQO58524.1, QQO58446.1, QQO58468.1, QQO58492.1, QQO58471.1, QQO58467.1, QQO58449.1, QQO58434.1, QQO58448.1, QPL12613.1, QPL12611.1, QPL12615.1, QPL12606.1, QPL12597.1, QPL12622.1, QPL12598.1, QPL12609.1, QPL12621.1, QPL12619.1, QPL12624.1, QPL12607.1, QPL12623.1, QPL12599.1, NP_081397.1, AAR82916.1, sp|Q6TEK5.1|VKORL_MOUSE, AAI38133.1, AAI25316.1, NP_001273311.1, EDL19489.1, BAB26325.1, QPL12588.1, QPL12586.1, QPL12580.1, QPL12602.1, QPL12605.1, QQO58619.1, QPL12620.1, QPL12589.1, QPL12608.1, QPL12604.1, QPL12614.1, QPL12617.1, QPL12616.1, QPL12590.1, QPL12592.1, QPL12581.1, QPL12583.1, QPL12584.1, QPL12603.1, QPL12593.1, QPL12591.1, QPL12582.1, QPL12579.1, EDL17601.1, QPL12596.1, QPL12585.1, QQO58489.1, QQO58604.1, QQO58641.1, QQO58462.1, QQO58477.1, QQO58613.1, QQO58507.1, ADN94697.1, ADN94698.1, QQO58513.1, QQO58732.1, QQO58546.1, QQO58526.1, QQO58525.1, QQO58511.1, QQO58554.1, QQO58570.1, QQO58608.1, QIJ55490.1, QIJ55489.1, QQO58498.1, sp|Q9CRC0.1|VKOR1_MOUSE, NP_848715.1, QQO58504.1, QQO58514.1, QQO58510.1, QQO58517.1, QQO58453.1, QQO58455.1, QQO58611.1, QQO58733.1, QQO58518.1, QQO58572.1, QQO58519.1, ADN94695.1, ADN33373.1, ADN94693.1, ADN94692.1, ADN33372.1, ADN33370.1, QQO58466.1, QQO58465.1, QQO58456.1, BAB22320.1, QQO58473.1, AAH31732.1, ADN33371.1, QQO58437.1, ADN94696.1, BAB25757.1, QQO58497.1, EDL17600.1, BAB29106.1, QQO58460.1, QQO58479.1, QQO58464.1, QQO58431.1, QQO58447.1, QQO58438.1, BAB22661.1, QQO58491.1, BAB25708.1, QQO58731.1, QQO58429.1, QQO58620.1, QQO58624.1, QQO58459.1, QQO58617.1, QQO58625.1, QQO58515.1, QQO58621.1, QQO58540.1, QQO58616.1, QQO58736.1, QQO58571.1, QQO58463.1, QQO58575.1, QQO58610.1, QQO58609.1, QQO58601.1, QQO58454.1, QQO58480.1, QQO58550.1, QQO58481.1, QQO58520.1, QQO58551.1, QQO58439.1, QQO58562.1, QQO58627.1, QQO58516.1, QQO58628.1, QQO58598.1, QQO58496.1, QQO58597.1, QQO58640.1, QQO58534.1, QQO58545.1, QQO58538.1, QQO58557.1, QQO58552.1, QQO58558.1, QQO58561.1, QQO58555.1, QQO58563.1, QQO58605.1, QQO58607.1, QQO58614.1, QQO58612.1, QQO58523.1, QQO58623.1, QQO58432.1, QQO58469.1, QPL12595.1
OG0000079	sp|P18934|NU4LM_DROME	BCG28272.1, AKC99193.1, AKC99245.1, AKC99167.1, AKC99258.1, AKC99219.1, AKC99232.1, AKC99271.1, AKC99182.1, AKC99297.1, AKC99206.1, AKC99284.1, AHG32144.1, BCZ76315.1, AFX73527.1, AHG32053.1, QKJ82482.1, BCG28705.1, BCG28719.1, ABK79257.1, AFX73501.1, AFX73514.1, BCG28285.1, BCG28640.1, AHG32222.1, BCG28905.1, BCG28574.1, AFX73618.1, AHG32287.1, BCG28932.1, AGK29655.1, BCG28246.1, AHG32079.1, YP_001686706.1, BCG28958.1, BCG28454.1, BCG28520.1, BCG28507.1, BCG28653.1, BCG28692.1, BCG29133.1, BCG29079.1, BCG29000.1, BCG29227.1, BCG29026.1, BCG28852.1, AHG32183.1, BCG28986.1, AFX73657.1, BCG28614.1, BCG28324.1, BCG28772.1, AFX73540.1, BCG28865.1, BCG28389.1, AFX73683.1, BCG29174.1, BCG28467.1, ACM24419.1, BCG28363.1, BCG29188.1, AHG32235.1, BCG29039.1, BCG28945.1, BCG28560.1, AFX73631.1, BCG29106.1, BCG29013.1, AFX73605.1, AGK29642.1, AGK29629.1, BCG28428.1, BCG28298.1, AFX73566.1, BCG28785.1, YP_002791050.1, AFX73644.1, BCG28892.1, AKS10759.1, BCG29066.1, AHG32131.1, BCG28812.1, BCG28415.1, AHG32157.1, BCG28601.1, QLM00976.1, AFX73670.1, BCG28971.1, BCG29201.1, AHG32209.1, BCG28376.1, AAT74381.1, BCG28825.1, BCG28666.1, ABK79296.1, BCG28587.1, BCG28878.1, BCG29120.1, BCG28231.1, BCG29052.1, AHG32196.1, AHG32274.1, ABH09677.1, AFX73592.1, BCG29214.1, BCG28759.1, BCG28798.1, BCG28839.1, AHG32170.1, BCG28441.1, AKS10746.1, BCG28627.1, BCG29092.1, BCG28746.1, AKS10733.1, AHG32040.1, BCG28259.1, AGK29615.1, AHG32248.1, ABK79270.1, AHG32261.1, BCG28402.1, BCG28546.1, AFX73488.1, AHG32118.1, ABK79283.1, BCG28350.1, BCG28337.1, AFX73553.1, AFX73579.1, BCG28679.1, YP_220571.1, BCG28480.1, BCG28494.1, BCG29147.1, BCG28918.1, AHG32066.1, BCG29161.1, BCG29240.1, BCG28733.1, AHG32105.1, AHG32092.1, BCZ76263.1, BCZ76289.1, BCG29428.1, BCG29415.1, BCG29510.1, BCG29348.1, BCG29361.1, BCG29441.1, BCG29320.1, BCG29267.1, BCG29280.1, BCG29253.1, BCG29293.1, BCG29401.1, BCG29482.1, BCG29334.1, BCG29454.1, BCG28533.1, AHI52104.1, BCG29388.1, BCZ76302.1, BCG29523.1, BCG29375.1, BCZ76276.1, BCG29306.1, BCG29496.1, BCG29469.1, BCG28311.1
OG0000115	sp|P18930|NU3M_DROME	AGI15881.1, BCG28545.1, BCG28665.1, BCG28362.1, BCG28258.1, BCG29173.1, BCG28401.1, BCG29279.1, BCG28532.1, BCG28310.1, BCG28245.1, BCG28678.1, BCG29025.1, BCG28349.1, BCG28600.1, AHG32182.1, AHG32156.1, BCG28758.1, BCG29091.1, BCG29132.1, BCG28784.1, AHG32169.1, BCG29038.1, BCG29266.1, BCG29200.1, BCG29187.1, BCG29146.1, AHG32039.1, AHI52103.1, BCG29440.1, BCG28985.1, BCG29453.1, BCG28519.1, BCG28811.1, BCG29213.1, AHG32130.1, AHG32273.1, AGK29654.1, BCG29522.1, BCG28824.1, BCG28613.1, AKC99192.1, AHG32091.1, BCG28388.1, ABK79256.1, AHG32234.1, AHG32065.1, BCG28944.1, AHG32247.1, AKC99205.1, BCG28704.1, AKC99270.1, YP_001686705.1, ABK79295.1, ABK79269.1, BCG28479.1, BCG28271.1, BCG28891.1, BCG28691.1, BCG28838.1, AHG32052.1, BCG28917.1, QLM00975.1, AGK29641.1, AHG32195.1, BCG28493.1, AKC99283.1, BCG28877.1, BCG28414.1, BCG28573.1, BCG28931.1, AHG32104.1, AKS10745.1, BCG28797.1, BCG28652.1, BCG28718.1, BCG28745.1, BCG28375.1, AKC99257.1, BCG28559.1, BCG28336.1, BCG28851.1, AHG32221.1, BCG28466.1, AHG32260.1, AKC99166.1, BCG28440.1, BCG29012.1, BCG28626.1, BCG28999.1, BCG28323.1, AKC99244.1, AHG32286.1, BCG29065.1, BCG28732.1, AHG32117.1, BCG29347.1, AHG32208.1, AKS10732.1, BCG29495.1, BCG29226.1, BCZ76262.1, BCG29292.1, BCG29078.1, BCG29319.1, BCG29509.1, BCG28970.1, BCG28586.1, AKC99218.1, BCG28957.1, AKC99180.1, BCZ76314.1, BCG29119.1, BCG29305.1, BCG29400.1, AHG32078.1, BCG28864.1, BCG28453.1, BCG29360.1, AKC99231.1, ABH09676.1, QKJ82481.1, AAT74380.1, BCG29160.1, YP_220570.1, AKC99296.1, YP_002791049.1, BCZ76301.1, BCZ76288.1, BCG29387.1, BCG29252.1, BCZ76275.1, AHG32143.1, BCG29051.1, BCG28284.1, BCG29239.1, BCG28904.1, BCG28427.1, BCG29374.1, AKS10758.1, BCG29414.1, BCG28506.1, BCG28297.1, BCG29333.1, AAA19255.2, BCG28639.1, BCG29468.1, BCG29105.1
OG0000119	sp|P05661|MYSA_DROME	BAE34176.1, AAH61145.1, AAH90979.1
OG0000119	sp|Q99323|MYSN_DROME	pdb|7QIO|M, pdb|7QIN|M, pdb|7QIO|L, pdb|7QIN|L, pdb|7NEP|M, pdb|7NEP|L, BAC30831.1, BAE23716.1, NP_001074719.1, EDL10432.1, XP_017174700.1, sp|A2AQP0.1|MYH7B_MOUSE, XP_017174697.1, XP_017174699.1, XP_017174696.1, XP_006500110.1, XP_017174695.1, XP_017174698.1, XP_036018393.1, XP_036018392.1, EDL06136.1, NP_001078847.1, BAC32210.1, BAC32206.1, BAC34988.1, XP_036012983.1, sp|Q61879.2|MYH10_MOUSE, NP_780469.1, AAH89011.1, XP_017170324.1, BAE27998.1, AAH59863.1, AAH98465.1, EDL10453.1, XP_017170323.1, XP_006534552.1, XP_036012982.1, NP_038635.2, EDK97391.1, BAE27776.1, BAE27763.1, BAE27765.1, CAC85955.1, BAE27761.1, BAE27772.1, BAE27773.1, BAE27766.1, BAE27768.1, BAE27767.1, BAE27777.1, BAE27778.1, BAE27783.1, BAE27785.1, BAE27829.1, EDL29650.1, BAE27906.1, sp|Q8VDD5.4|MYH9_MOUSE, BAE27894.1, NP_071855.2
OG0000123	sp|P91645|CAC1A_DROME	XP_006529168.1, XP_017168219.1, XP_017168284.1, XP_017168255.1, XP_017168313.1, XP_017168234.1, XP_030099789.1, XP_011246211.1, XP_030099786.1, XP_017168201.1, XP_017168067.1, XP_017168117.1, XP_017168131.1, XP_017168102.1, XP_017168149.1, XP_017168171.1, XP_017168108.1, AAI50751.1, XP_017168337.1, XP_011246218.1, XP_030100014.1, EDL39414.1, NP_033912.2, sp|Q61290.1|CAC1E_MOUSE, AAA59206.1, XP_036011834.1, XP_017170644.1, XP_006497701.1, XP_006497700.1, XP_017170629.1, XP_006497689.1, XP_006497690.1, XP_006497698.1, XP_017170630.1, XP_006497692.1, XP_006497691.1, XP_006497693.1, XP_017170645.1, XP_017170635.1, XP_006497694.1, sp|O55017.1|CAC1B_MOUSE, NP_001035993.1, AAB97840.1, XP_006497696.1, XP_006497695.1, XP_006497697.1, NP_031605.2, AAB60437.1, EDL08175.1, EDL08174.1, EDL10945.1, EDL10946.1, NP_001238989.1, BAB85611.1, BAA33546.1, NP_062528.2, CAE30292.1, AAF86764.1, sp|Q9JIS7.1|CAC1F_MOUSE, XP_030107268.1, ACM24798.1, sp|Q02789.3|CAC1S_MOUSE, NP_001074492.1, BAE25427.1, BAE24989.1, EDL39558.1, NP_055008.2, NP_001389878.1, AAI34370.1, BAA84110.1, AAC52940.1, BAB85612.1, NP_001238990.1, AAW56205.1, NP_031604.3, sp|P97445.2|CAC1A_MOUSE, BAE27823.1, XP_006530654.1, XP_030099121.1, XP_030099122.1, XP_011246587.1, XP_036009625.1, XP_030099120.1, XP_006530651.1, XP_006530656.1, XP_006530659.1, XP_006530661.1, XP_006530663.1, XP_006530660.1, XP_006530652.1, XP_006530662.1, XP_006530658.1
OG0000170	sp|P18935|CYB_DROME	BAN92026.1, BBF16966.1, BAE20365.1, BAN92129.1, BAE20364.1, BAN92124.1, BAE20366.1, BAN92136.1, BBF16967.1, BAE20371.1, BBF16968.1, BAE20367.1, BAN92038.1, AGY29790.1, AGK29659.1, AGY29848.1, BCG28644.1, AHG32135.1, BCG29004.1, BCG28896.1, AQV05387.1, AGY29830.1, BCG29218.1, ANV22330.1, ANV22331.1, ANV22269.1, ANV22270.1, ANV22268.1, BCG29271.1, ANV22319.1, ANV22337.1, AGY29817.1, AGY29847.1, ANV22276.1, ANV22287.1, ANV22288.1, ANV22292.1, ANV22286.1, ANV22289.1, ANV22291.1, ANV22290.1, ALR88729.1, ALR88721.1, AHG32070.1, QKY88606.1, QKY88607.1, QKY88605.1, BAO05404.1, AVX28307.1, BAU20216.1, BAN92070.1, QKE11569.1, QKE11567.1, QKE11562.1, QKE11561.1, QKE11564.1, QKE11570.1, QKE11573.1, QKE11571.1, QKE11565.1, QKE11572.1, QKE11568.1, QKE11566.1, QKE11560.1, APP89327.1, APP89328.1, APP89329.1, QLP89224.1, QLP89260.1, QLP89238.1, QLP89225.1, AAO33292.1, QLP89222.1, QLP89233.1, BCS80004.1, BCS80007.1, QLP89239.1, QLP89243.1, QLP89173.1, QLP89172.1, QLP89269.1, QLP89230.1, QLP89216.1, QLP89227.1, QLP89240.1, QLP89257.1, QLP89278.1, QLP89219.1, QLP89248.1, BCS80013.1, QLP89181.1, BCS80014.1, BCS80011.1, QLP89251.1, QLP89277.1, QLP89271.1, QLP89242.1, QLP89232.1, QLP89276.1, QLP89268.1, QLP89247.1, QLP89259.1, QLP89250.1, QLP89229.1, QLP89275.1, QLP89270.1, QLP89258.1, QLP89237.1, QLP89267.1, QLP89231.1, QLP89217.1, QLP89274.1, QLP89261.1, BAA85860.1
